Haustyp;Zone;Typtag;Profiltag;Fheiz,TT;Fel,TT;FTWW,TT;;;;;;;;
MFH;6;WSH;MFH6WSH;0.0048525;0.000024578;0.000010186;;;;;;;;
MFH;6;WSB;MFH6WSB;0.0036995;-6.47E-06;4.49E-06;;;;;;;;
;;;;;;;;;;;;;;
MFH;7;ÜWH;MFH7ÜWH;0.001667;0.000012329;1.13E-05;;;;;;;;
MFH;7;ÜWB;MFH7ÜWB;0.002234;2.39E-06;2.42E-06;;;;;;;;
MFH;7;ÜSH;MFH7ÜSH;0.0014646;-1.45E-05;2.42E-06;;;;;;;;
MFH;7;ÜSB;MFH7ÜSB;0.0019703;-1.45E-05;1.52E-05;;;;;;;;
MFH;7;SWX;MFH7SWX;2.67E-04;-0.00003934;-0.000054541;;;;;;;;
MFH;7;SSX;MFH7SSX;2.22E-04;-0.000041328;-0.000045702;;;;;;;;
MFH;7;WWH;MFH7WWH;0.0063925;5.11E-05;2.70E-05;;;;;;;;
MFH;7;WWB;MFH7WWB;0.0047685;1.83E-05;2.60E-05;;;;;;;;
MFH;7;WSH;MFH7WSH;0.0051927;0.000031209;0.000019118;;;;;;;;
MFH;7;WSB;MFH7WSB;0.0040709;-5.88E-07;0.000013225;;;;;;;;
;;;;;;;;;;;;;;
MFH;8;ÜWH;MFH8ÜWH;1.41E-03;4.94E-06;3.92E-07;;;;;;;;
MFH;8;ÜWB;MFH8ÜWB;1.65E-03;-4.72E-06;-8.08E-06;;;;;;;;
MFH;8;ÜSH;MFH8ÜSH;1.59E-03;-2.11E-05;-8.08E-06;;;;;;;;
MFH;8;ÜSB;MFH8ÜSB;1.55E-03;-2.11E-05;4.16E-06;;;;;;;;
MFH;8;SWX;MFH8SWX;3.47E-04;-4.53E-05;-6.27E-05;;;;;;;;
MFH;8;SSX;MFH8SSX;2.86E-04;-4.72E-05;-5.42E-05;;;;;;;;
MFH;8;WWH;MFH8WWH;5.49E-03;4.26E-05;1.55E-05;;;;;;;;
MFH;8;WWB;MFH8WWB;4.22E-03;1.07E-05;1.45E-05;;;;;;;;
MFH;8;WSH;MFH8WSH;4.79E-03;2.33E-05;7.92E-06;;;;;;;;
MFH;8;WSB;MFH8WSB;3.64E-03;-7.62E-06;2.27E-06;;;;;;;;
