time_steps;Last_L;Gaskessel;el_Leistungsbedarf_L;el_Leistung_L;el_Leistung_ges_L
2021-01-01 00:00:00;1305.9323462569098;1305.9323462569098;0.0;0.0;0.0
2021-01-01 01:00:00;1367.0217306775226;1367.0217306775226;0.0;0.0;0.0
2021-01-01 02:00:00;1229.695510337233;1229.695510337233;0.0;0.0;0.0
2021-01-01 03:00:00;1360.2934391417064;1360.2934391417064;0.0;0.0;0.0
2021-01-01 04:00:00;1955.2740227001127;1955.2740227001127;0.0;0.0;0.0
2021-01-01 05:00:00;2782.1806810396733;2782.1806810396733;0.0;0.0;0.0
2021-01-01 06:00:00;2771.96066255426;2771.96066255426;0.0;0.0;0.0
2021-01-01 07:00:00;2700.7152791946774;2700.7152791946774;0.0;0.0;0.0
2021-01-01 08:00:00;2669.0014349302105;2669.0014349302105;0.0;0.0;0.0
2021-01-01 09:00:00;2614.13180591492;2614.13180591492;0.0;0.0;0.0
2021-01-01 10:00:00;2417.2807986187104;2417.2807986187104;0.0;0.0;0.0
2021-01-01 11:00:00;2329.509175625022;2329.509175625022;0.0;0.0;0.0
2021-01-01 12:00:00;2271.255588286157;2271.255588286157;0.0;0.0;0.0
2021-01-01 13:00:00;2207.2855391400017;2207.2855391400017;0.0;0.0;0.0
2021-01-01 14:00:00;2453.1109345743266;2453.1109345743266;0.0;0.0;0.0
2021-01-01 15:00:00;2477.531130890201;2477.531130890201;0.0;0.0;0.0
2021-01-01 16:00:00;2582.938842249582;2582.938842249582;0.0;0.0;0.0
2021-01-01 17:00:00;2671.861401618164;2671.861401618164;0.0;0.0;0.0
2021-01-01 18:00:00;2737.122228541066;2737.122228541066;0.0;0.0;0.0
2021-01-01 19:00:00;2739.7776933860987;2739.7776933860987;0.0;0.0;0.0
2021-01-01 20:00:00;2686.2591411567164;2686.2591411567164;0.0;0.0;0.0
2021-01-01 21:00:00;2453.0579642276502;2453.0579642276502;0.0;0.0;0.0
2021-01-01 22:00:00;2101.5080404320006;2101.5080404320006;0.0;0.0;0.0
2021-01-01 23:00:00;1553.801017981355;1553.801017981355;0.0;0.0;0.0
2021-01-02 00:00:00;1388.6273897142107;1388.6273897142107;0.0;0.0;0.0
2021-01-02 01:00:00;1494.2878032174367;1494.2878032174367;0.0;0.0;0.0
2021-01-02 02:00:00;1522.1099190568482;1522.1099190568482;0.0;0.0;0.0
2021-01-02 03:00:00;1645.0885105622124;1645.0885105622124;0.0;0.0;0.0
2021-01-02 04:00:00;2046.467026530001;2046.467026530001;0.0;0.0;0.0
2021-01-02 05:00:00;3084.715632199977;3084.715632199977;0.0;0.0;0.0
2021-01-02 06:00:00;3084.830135878915;3084.830135878915;0.0;0.0;0.0
2021-01-02 07:00:00;3049.149524706616;3049.149524706616;0.0;0.0;0.0
2021-01-02 08:00:00;2968.393356733072;2968.393356733072;0.0;0.0;0.0
2021-01-02 09:00:00;2905.2843446110405;2905.2843446110405;0.0;0.0;0.0
2021-01-02 10:00:00;2830.559110912555;2830.559110912555;0.0;0.0;0.0
2021-01-02 11:00:00;2721.14557640571;2721.14557640571;0.0;0.0;0.0
2021-01-02 12:00:00;2696.8082421185777;2696.8082421185777;0.0;0.0;0.0
2021-01-02 13:00:00;2718.099381491388;2718.099381491388;0.0;0.0;0.0
2021-01-02 14:00:00;2742.526882542816;2742.526882542816;0.0;0.0;0.0
2021-01-02 15:00:00;2771.932671002028;2771.932671002028;0.0;0.0;0.0
2021-01-02 16:00:00;2894.185212980611;2894.185212980611;0.0;0.0;0.0
2021-01-02 17:00:00;3000.418967015358;3000.418967015358;0.0;0.0;0.0
2021-01-02 18:00:00;3085.37059660573;3085.37059660573;0.0;0.0;0.0
2021-01-02 19:00:00;3088.269314633711;3088.269314633711;0.0;0.0;0.0
2021-01-02 20:00:00;3045.211941288928;3045.211941288928;0.0;0.0;0.0
2021-01-02 21:00:00;2780.6167462092308;2780.6167462092308;0.0;0.0;0.0
2021-01-02 22:00:00;2345.1797181295524;2345.1797181295524;0.0;0.0;0.0
2021-01-02 23:00:00;1731.519076335387;1731.519076335387;0.0;0.0;0.0
2021-01-03 00:00:00;1424.3665378753617;1424.3665378753617;0.0;0.0;0.0
2021-01-03 01:00:00;1556.399395863357;1556.399395863357;0.0;0.0;0.0
2021-01-03 02:00:00;1782.6080152626075;1782.6080152626075;0.0;0.0;0.0
2021-01-03 03:00:00;1921.4194015627447;1921.4194015627447;0.0;0.0;0.0
2021-01-03 04:00:00;2310.644694181801;2310.644694181801;0.0;0.0;0.0
2021-01-03 05:00:00;3284.5251912469107;3284.5251912469107;0.0;0.0;0.0
2021-01-03 06:00:00;3291.1670157091;3291.1670157091;0.0;0.0;0.0
2021-01-03 07:00:00;3271.89434136731;3271.89434136731;0.0;0.0;0.0
2021-01-03 08:00:00;3164.864488894332;3164.864488894332;0.0;0.0;0.0
2021-01-03 09:00:00;3090.488778069976;3090.488778069976;0.0;0.0;0.0
2021-01-03 10:00:00;3017.0225663659385;3017.0225663659385;0.0;0.0;0.0
2021-01-03 11:00:00;2896.628147633922;2896.628147633922;0.0;0.0;0.0
2021-01-03 12:00:00;2870.717713508561;2870.717713508561;0.0;0.0;0.0
2021-01-03 13:00:00;2907.260462570368;2907.260462570368;0.0;0.0;0.0
2021-01-03 14:00:00;2939.1219838238967;2939.1219838238967;0.0;0.0;0.0
2021-01-03 15:00:00;2968.886268508629;2968.886268508629;0.0;0.0;0.0
2021-01-03 16:00:00;3041.470366543801;3041.470366543801;0.0;0.0;0.0
