Haustyp;Zone;Typtag;Profiltag;Fheiz,TT;Fel,TT;FTWW,TT;;;;;;;;
MFH;6;WSH;MFH6WSH;0.00485250;0.00002458;0.00001019;;;;;;;;
MFH;6;WSB;MFH6WSB;0.00369950;-0.00000647;0.00000449;;;;;;;;
;;;;;;;;;;;;;;
MFH;7;ÜWH;MFH7ÜWH;0.00166700;0.00001233;0.00001126;;;;;;;;
MFH;7;ÜWB;MFH7ÜWB;0.00223400;0.00000239;0.00000242;;;;;;;;
MFH;7;ÜSH;MFH7ÜSH;0.00146460;-0.00001450;0.00000242;;;;;;;;
MFH;7;ÜSB;MFH7ÜSB;0.00197030;-0.00001450;0.00001519;;;;;;;;
MFH;7;SWX;MFH7SWX;0.00026704;-0.00003934;-0.00005454;;;;;;;;
MFH;7;SSX;MFH7SSX;0.00022197;-0.00004133;-0.00004570;;;;;;;;
MFH;7;WWH;MFH7WWH;0.00639250;0.00005108;0.00002698;;;;;;;;
MFH;7;WWB;MFH7WWB;0.00476850;0.00001829;0.00002599;;;;;;;;
MFH;7;WSH;MFH7WSH;0.00519270;0.00003121;0.00001912;;;;;;;;
MFH;7;WSB;MFH7WSB;0.00407090;-0.00000059;0.00001323;;;;;;;;
;;;;;;;;;;;;;;
MFH;8;ÜWH;MFH8ÜWH;0.00140720;0.00000494;0.00000039;;;;;;;;
MFH;8;ÜWB;MFH8ÜWB;0.00164900;-0.00000472;-0.00000808;;;;;;;;
MFH;8;ÜSH;MFH8ÜSH;0.00159470;-0.00002113;-0.00000808;;;;;;;;
MFH;8;ÜSB;MFH8ÜSB;0.00154710;-0.00002113;0.00000416;;;;;;;;
MFH;8;SWX;MFH8SWX;0.00034707;-0.00004527;-0.00006266;;;;;;;;
MFH;8;SSX;MFH8SSX;0.00028584;-0.00004720;-0.00005419;;;;;;;;
MFH;8;WWH;MFH8WWH;0.00549010;0.00004259;0.00001545;;;;;;;;
MFH;8;WWB;MFH8WWB;0.00421510;0.00001073;0.00001451;;;;;;;;
MFH;8;WSH;MFH8WSH;0.00478750;0.00002328;0.00000792;;;;;;;;
MFH;8;WSB;MFH8WSB;0.00364260;-0.00000762;0.00000227;;;;;;;;
;;;;;;;;;;;;;;
MFH;9;ÜWH;MFH9ÜWH;0.00163580;0.00001060;0.00001028;;;;;;;;
MFH;9;ÜWB;MFH9ÜWB;0.00196250;0.00000073;0.00000148;;;;;;;;
MFH;9;ÜSH;MFH9ÜSH;0.00160600;-0.00001605;0.00000148;;;;;;;;
MFH;9;ÜSB;MFH9ÜSB;0.00169830;-0.00001605;0.00001420;;;;;;;;
MFH;9;SWX;MFH9SWX;0.00024096;-0.00004073;-0.00005527;;;;;;;;
MFH;9;SSX;MFH9SSX;0.00023233;-0.00004270;-0.00004647;;;;;;;;
MFH;9;WWH;MFH9WWH;0.00541390;0.00004909;0.00002594;;;;;;;;
MFH;9;WWB;MFH9WWB;0.00488920;0.00001652;0.00002496;;;;;;;;
MFH;9;WSH;MFH9WSH;0.00517990;0.00002935;0.00001811;;;;;;;;
MFH;9;WSB;MFH9WSB;0.00398140;-0.00000223;0.00001224;;;;;;;;
;;;;;;;;;;;;;;
MFH;10;ÜWH;MFH10ÜWH;0.00146190;0.00000684;0.00000478;;;;;;;;
MFH;10;ÜWB;MFH10ÜWB;0.00165950;-0.00000289;-0.00000384;;;;;;;;
MFH;10;ÜSH;MFH10ÜSH;0.00149890;-0.00001943;-0.00000384;;;;;;;;
MFH;10;ÜSB;MFH10ÜSB;0.00151570;-0.00001943;0.00000861;;;;;;;;
MFH;10;SWX;MFH10SWX;0.00022801;-0.00004375;-0.00005939;;;;;;;;
MFH;10;SSX;MFH10SSX;0.00030778;-0.00004569;-0.00005077;;;;;;;;
MFH;10;WWH;MFH10WWH;0.00546450;0.00004478;0.00002010;;;;;;;;
MFH;10;WWB;MFH10WWB;0.00438550;0.00001268;0.00001914;;;;;;;;
MFH;10;WSH;MFH10WSH;0.00508040;0.00002532;0.00001244;;;;;;;;
MFH;10;WSB;MFH10WSB;0.00375070;-0.00000581;0.00000669;;;;;;;;
;;;;;;;;;;;;;;
MFH;11;ÜWH;MFH11ÜWH;0.00114250;0.00000167;-0.00000332;;;;;;;;
MFH;11;ÜWB;MFH11ÜWB;0.00165210;-0.00000786;-0.00001166;;;;;;;;
MFH;11;ÜSH;MFH11ÜSH;0.00136940;-0.00002406;-0.00001166;;;;;;;;
MFH;11;ÜSB;MFH11ÜSB;0.00137800;-0.00002406;0.00000039;;;;;;;;
MFH;11;SWX;MFH11SWX;0.00030526;-0.00004789;-0.00006544;;;;;;;;
MFH;11;SSX;MFH11SSX;0.00000000;-0.00004980;-0.00005709;;;;;;;;
MFH;11;WWH;MFH11WWH;0.00420250;0.00003885;0.00001152;;;;;;;;
MFH;11;WWB;MFH11WWB;0.00389110;0.00000739;0.00001059;;;;;;;;
MFH;11;WSH;MFH11WSH;0.00338470;0.00001978;0.00000410;;;;;;;;
MFH;11;WSB;MFH11WSB;0.00336470;-0.00001072;-0.00000146;;;;;;;;
;;;;;;;;;;;;;;
MFH;12;ÜWH;MFH12ÜWH;0.00251000;0.00001952;0.00002129;;;;;;;;
MFH;12;ÜWB;MFH12ÜWB;0.00296280;0.00000931;0.00001211;;;;;;;;
MFH;12;ÜSH;MFH12ÜSH;0.00209090;-0.00000805;0.00001211;;;;;;;;
MFH;12;ÜSB;MFH12ÜSB;0.00232740;-0.00000805;0.00002537;;;;;;;;
MFH;12;SWX;MFH12SWX;0.00022408;-0.00003357;-0.00004705;;;;;;;;
MFH;12;SSX;MFH12SSX;0.00024846;-0.00003562;-0.00003787;;;;;;;;
MFH;12;WWH;MFH12WWH;0.00718750;0.00005933;0.00003761;;;;;;;;
MFH;12;WWB;MFH12WWB;0.00563610;0.00002564;0.00003659;;;;;;;;
MFH;12;WSH;MFH12WSH;0.00599850;0.00003891;0.00002945;;;;;;;;
MFH;12;WSB;MFH12WSB;0.00483790;0.00000624;0.00002333;;;;;;;;
;;;;;;;;;;;;;;
MFH;13;ÜWH;MFH13ÜWH;0.00152350;0.00001182;0.00001207;;;;;;;;
MFH;13;ÜWB;MFH13ÜWB;0.00207880;0.00000190;0.00000321;;;;;;;;
MFH;13;ÜSH;MFH13ÜSH;0.00152040;-0.00001496;0.00000321;;;;;;;;
MFH;13;ÜSB;MFH13ÜSB;0.00168920;-0.00001496;0.00001601;;;;;;;;
MFH;13;SWX;MFH13SWX;0.00022733;-0.00003975;-0.00005393;;;;;;;;
MFH;13;SSX;MFH13SSX;0.00026977;-0.00004174;-0.00004507;;;;;;;;
MFH;13;WWH;MFH13WWH;0.00617800;0.00005049;0.00002784;;;;;;;;
MFH;13;WWB;MFH13WWB;0.00483820;0.00001777;0.00002685;;;;;;;;
MFH;13;WSH;MFH13WSH;0.00545670;0.00003066;0.00001996;;;;;;;;
MFH;13;WSB;MFH13WSB;0.00431480;-0.00000108;0.00001404;;;;;;;;
;;;;;;;;;;;;;;
MFH;14;ÜWH;MFH14ÜWH;0.00127020;0.00000736;0.00000478;;;;;;;;
MFH;14;ÜWB;MFH14ÜWB;0.00182810;-0.00000239;-0.00000384;;;;;;;;
MFH;14;ÜSH;MFH14ÜSH;0.00140230;-0.00001896;-0.00000384;;;;;;;;
MFH;14;ÜSB;MFH14ÜSB;0.00164520;-0.00001896;0.00000861;;;;;;;;
MFH;14;SWX;MFH14SWX;0.00023836;-0.00004333;-0.00005939;;;;;;;;
MFH;14;SSX;MFH14SSX;0.00024465;-0.00004528;-0.00005077;;;;;;;;
MFH;14;WWH;MFH14WWH;0.00567130;0.00004538;0.00002010;;;;;;;;
MFH;14;WWB;MFH14WWB;0.00441400;0.00001321;0.00001914;;;;;;;;
MFH;14;WSH;MFH14WSH;0.00360510;0.00002588;0.00001244;;;;;;;;
MFH;14;WSB;MFH14WSB;0.00385380;-0.00000531;0.00000669;;;;;;;;
;;;;;;;;;;;;;;
MFH;15;ÜWH;MFH15ÜWH;0.00139020;0.00000797;0.00000672;;;;;;;;
MFH;15;ÜWB;MFH15ÜWB;0.00181530;-0.00000180;-0.00000196;;;;;;;;
MFH;15;ÜSH;MFH15ÜSH;0.00146990;-0.00001841;-0.00000196;;;;;;;;
MFH;15;ÜSB;MFH15ÜSB;0.00173430;-0.00001841;0.00001058;;;;;;;;
MFH;15;SWX;MFH15SWX;0.00023629;-0.00004284;-0.00005793;;;;;;;;
MFH;15;SSX;MFH15SSX;0.00023542;-0.00004479;-0.00004925;;;;;;;;
MFH;15;WWH;MFH15WWH;0.00563850;0.00004608;0.00002216;;;;;;;;
MFH;15;WWB;MFH15WWB;0.00459140;0.00001383;0.00002120;;;;;;;;
MFH;15;WSH;MFH15WSH;0.00514010;0.00002654;0.00001444;;;;;;;;
MFH;15;WSB;MFH15WSB;0.00392730;-0.00000473;0.00000865;;;;;;;;
;;;;;;;;;;;;;;
EFH;1;ÜWH;EFH1ÜWH;0.00186130;-0.00005885;-0.00013009;;;;;;;;
EFH;1;ÜWB;EFH1ÜWB;0.00268500;0.00000182;-0.00006557;;;;;;;;
EFH;1;ÜSH;EFH1ÜSH;0.00313280;0.00008271;0.00031096;;;;;;;;
EFH;1;ÜSB;EFH1ÜSB;0.00255910;0.00015686;0.00036393;;;;;;;;
EFH;1;SWX;EFH1SWX;0.00000000;-0.00013011;0.00020809;;;;;;;;
EFH;1;SSX;EFH1SSX;0.00000000;-0.00007040;0.00014629;;;;;;;;
EFH;1;WWH;EFH1WWH;0.00502250;0.00000375;0.00007695;;;;;;;;
EFH;1;WWB;EFH1WWB;0.00526870;0.00006538;0.00002688;;;;;;;;
EFH;1;WSH;EFH1WSH;0.00567390;0.00010871;0.00074913;;;;;;;;
EFH;1;WSB;EFH1WSB;0.00446980;0.00021175;0.00040245;;;;;;;;
EFH;;;;;;;;;;;;;;
EFH;2;ÜWH;EFH2ÜWH;0.00191370;-0.00005999;-0.00013023;;;;;;;;
EFH;2;ÜWB;EFH2ÜWB;0.00247980;0.00000060;-0.00006572;;;;;;;;
EFH;2;ÜSH;EFH2ÜSH;0.00264900;0.00008138;0.00031075;;;;;;;;
EFH;2;ÜSB;EFH2ÜSB;0.00264170;0.00015543;0.00036370;;;;;;;;
EFH;2;SWX;EFH2SWX;0.00000000;-0.00013116;-0.00020822;;;;;;;;
EFH;2;SSX;EFH2SSX;0.00000000;-0.00007153;0.00014610;;;;;;;;
EFH;2;WWH;EFH2WWH;0.00475540;0.00000252;0.00007678;;;;;;;;
EFH;2;WWB;EFH2WWB;0.00515030;0.00006461;0.00002671;;;;;;;;
EFH;2;WSH;EFH2WSH;0.00562210;0.00010734;0.00074884;;;;;;;;
EFH;2;WSB;EFH2WSB;0.00451840;0.00021024;0.00040222;;;;;;;;
;;;;;;;;;;;;;;
EFH;3;ÜWH;EFH3ÜWH;0.00171690;-0.00006505;-0.00013633;;;;;;;;
EFH;3;ÜWB;EFH3ÜWB;0.00240870;0.00000482;0.00007232;;;;;;;;
EFH;3;ÜSH;EFH3ÜSH;0.00248270;0.00007548;0.00030121;;;;;;;;
EFH;3;ÜSB;EFH3ÜSB;0.00225630;0.00014909;0.00035376;;;;;;;;
