time_steps;Last_L;BHKW_1;Biomassekessel_1;Gaskessel_1;el_Leistungsbedarf_L;el_Leistung_L;el_Leistung_ges_L
2021-07-07 04:00:00;104.19192796967668;100.0;0.0;4.191927969676684;0.0;57.89473684210526;57.89473684210526
2021-07-07 05:00:00;89.94491701564887;100.0;0.0;0.0;0.0;57.89473684210526;57.89473684210526
2021-07-07 06:00:00;111.68728323163708;100.0;0.0;11.687283231637082;0.0;57.89473684210526;57.89473684210526
2021-07-07 07:00:00;118.54521123768352;100.0;0.0;18.545211237683517;0.0;57.89473684210526;57.89473684210526
2021-07-07 08:00:00;194.75785546068104;100.0;94.75785546068104;0.0;0.0;57.89473684210526;57.89473684210526
2021-07-07 09:00:00;204.0207246847086;100.0;104.0207246847086;0.0;0.0;57.89473684210526;57.89473684210526
2021-07-07 10:00:00;197.49524292863973;100.0;97.49524292863973;0.0;0.0;57.89473684210526;57.89473684210526
2021-07-07 11:00:00;153.5571041247683;100.0;0.0;53.5571041247683;0.0;57.89473684210526;57.89473684210526
2021-07-07 12:00:00;143.1402527337225;100.0;0.0;43.14025273372249;0.0;57.89473684210526;57.89473684210526
2021-07-07 13:00:00;121.46343387343065;100.0;0.0;21.463433873430645;0.0;57.89473684210526;57.89473684210526
2021-07-07 14:00:00;96.16019654609596;100.0;0.0;0.0;0.0;57.89473684210526;57.89473684210526
2021-07-07 15:00:00;78.5022575903267;100.0;0.0;0.0;0.0;57.89473684210526;57.89473684210526
2021-07-07 16:00:00;26.875669039634072;0.0;0.0;0.0;0.0;0.0;0.0
2021-07-07 17:00:00;54.31010671625492;0.0;0.0;0.0;0.0;0.0;0.0
2021-07-07 18:00:00;56.16186142412638;0.0;0.0;0.0;0.0;0.0;0.0
2021-07-07 19:00:00;50.19342242942533;0.0;0.0;0.0;0.0;0.0;0.0
2021-07-07 20:00:00;42.72654706407191;0.0;0.0;0.0;0.0;0.0;0.0
2021-07-07 21:00:00;65.8369492598217;0.0;0.0;0.0;0.0;0.0;0.0
2021-07-07 22:00:00;57.80401527402494;0.0;0.0;0.0;0.0;0.0;0.0
2021-07-07 23:00:00;58.733578948834094;0.0;0.0;0.0;0.0;0.0;0.0
2021-07-08 00:00:00;98.29778131287422;0.0;0.0;0.0;0.0;0.0;0.0
2021-07-08 01:00:00;104.64746085669049;0.0;104.64746085669049;0.0;0.0;0.0;0.0
2021-07-08 02:00:00;108.13276285226944;100.0;0.0;8.132762852269437;0.0;57.89473684210526;57.89473684210526
2021-07-08 03:00:00;106.90773163914572;100.0;0.0;6.907731639145723;0.0;57.89473684210526;57.89473684210526
2021-07-08 04:00:00;128.0690287051614;100.0;0.0;28.0690287051614;0.0;57.89473684210526;57.89473684210526
2021-07-08 05:00:00;111.721004640294;100.0;0.0;11.721004640293998;0.0;57.89473684210526;57.89473684210526
2021-07-08 06:00:00;140.36605779412105;100.0;0.0;40.36605779412105;0.0;57.89473684210526;57.89473684210526
2021-07-08 07:00:00;150.17494155427795;100.0;0.0;50.17494155427795;0.0;57.89473684210526;57.89473684210526
