Adresse;UTM_X;UTM_Y;Grundfläche;Wandfläche;Dachfläche;Volumen;Nutzungstyp;Typ;Gebäudezustand;ww_demand_Wh_per_m2;air_change_rate;floors;fracture_windows;fracture_doors;min_air_temp;room_temp;max_air_temp_heating;Jährlicher Wärmebedarf in kWh
Bad Muskau - Mužakow Berliner Straße, Bad Muskau, Görlitz, 02953;480290.98799896287;5711076.7014673175;150.4;245.2;197.3;654.8;HMF;DE.N.SFH.01.GEN;Existing_state;12800;0.5;4;0.1;0.01;-15;20;15;119562.98
Bad Muskau - Mužakow Berliner Chaussee, Bad Muskau, Görlitz, 02953;480163.90392786544;5711170.468195453;117.2;150.5;117.4;310.8;HMF;DE.N.SFH.01.GEN;Existing_state;12800;0.5;4;0.1;0.01;-15;20;15;78007.23
Bad Muskau - Mužakow Köbelner Straße, Bad Muskau, Görlitz, 02953;480057.3802888364;5711418.700820205;67.2;93.3;67.2;174.7;HMF;DE.N.SFH.01.GEN;Existing_state;12800;0.5;4;0.1;0.01;-15;20;15;45705.52
Bad Muskau - Mužakow Berliner Chaussee, Bad Muskau, Görlitz, 02953;480015.53218328254;5711237.393933156;308.7;696.3;453.9;2855.0;HMF;DE.N.SFH.01.GEN;Existing_state;12800;0.5;4;0.1;0.01;-15;20;15;301412.60
Bad Muskau - Mužakow Jahnstraße, Bad Muskau, Görlitz, 02953;480232.16196316766;5711270.9368481105;67.1;198.5;68.0;387.9;HMF;DE.N.SFH.01.GEN;Existing_state;12800;0.5;4;0.1;0.01;-15;20;15;64041.75
Köbelner Straße 4, Bad Muskau - Mužakow, Bad Muskau, Sachsen;480252.76154252223;5711193.610073503;974.7;871.7;1078.8;6102.4;HMF;DE.N.SFH.01.GEN;Existing_state;12800;0.5;4;0.1;0.01;-15;20;15;653747.47
Bad Muskau - Mužakow Jahnstraße, Bad Muskau, Görlitz, 02953;480203.53173118806;5711211.958049847;46.0;164.3;46.3;244.0;HMF;DE.N.SFH.01.GEN;Existing_state;12800;0.5;4;0.1;0.01;-15;20;15;47774.21
Bad Muskau - Mužakow Jahnstraße, Bad Muskau, Görlitz, 02953;480261.87467198295;5711251.2070408715;116.5;179.6;147.9;345.6;HMF;DE.N.SFH.01.GEN;Existing_state;12800;0.5;4;0.1;0.01;-15;20;15;88212.67
Bad Muskau - Mužakow Uferweg, Bad Muskau, Görlitz, 02953;480327.9131462141;5711263.31620297;162.1;197.9;163.0;428.2;HMF;DE.N.SFH.01.GEN;Existing_state;12800;0.5;4;0.1;0.01;-15;20;15;106462.72
Bad Muskau - Mužakow Uferweg, Bad Muskau, Görlitz, 02953;480351.90481526137;5711261.436647736;289.1;397.0;309.7;736.9;HMF;DE.N.SFH.01.GEN;Existing_state;12800;0.5;4;0.1;0.01;-15;20;15;199608.91
Bad Muskau - Mužakow Jahnstraße, Bad Muskau, Görlitz, 02953;480223.4725000001;5711211.2955;77.6;128.6;77.6;278.2;HMF;DE.N.SFH.01.GEN;Existing_state;12800;0.5;4;0.1;0.01;-15;20;15;56804.07
Bad Muskau - Mužakow Berliner Straße, Bad Muskau, Görlitz, 02953;480273.52947044955;5711134.723162733;96.3;135.7;96.3;328.9;HMF;DE.N.SFH.01.GEN;Existing_state;12800;0.5;4;0.1;0.01;-15;20;15;66744.23
Bad Muskau - Mužakow Berliner Straße, Bad Muskau, Görlitz, 02953;480301.1087638424;5711091.788504638;120.6;209.3;121.0;515.9;HMF;DE.N.SFH.01.GEN;Existing_state;12800;0.5;4;0.1;0.01;-15;20;15;90767.62
Bad Muskau - Mužakow Jahnstraße, Bad Muskau, Görlitz, 02953;480192.08400000003;5711248.4065000005;91.9;135.9;99.4;306.0;HMF;DE.N.SFH.01.GEN;Existing_state;12800;0.5;4;0.1;0.01;-15;20;15;65937.56
Bad Muskau - Mužakow Berliner Straße, Bad Muskau, Görlitz, 02953;480300.04227460636;5711115.8995782975;410.5;372.5;418.8;1228.7;HMF;DE.N.SFH.01.GEN;Existing_state;12800;0.5;4;0.1;0.01;-15;20;15;253339.72
Bad Muskau - Mužakow Jahnstraße, Bad Muskau, Görlitz, 02953;480240.99936559115;5711296.381722651;63.7;192.0;101.7;377.9;HMF;DE.N.SFH.01.GEN;Existing_state;12800;0.5;4;0.1;0.01;-15;20;15;68310.74
Bad Muskau - Mužakow Jahnstraße, Bad Muskau, Görlitz, 02953;480317.8136961911;5711331.948114356;134.4;278.6;153.1;721.5;HMF;DE.N.SFH.01.GEN;Existing_state;12800;0.5;4;0.1;0.01;-15;20;15;113041.93
Bad Muskau - Mužakow Köbelner Straße, Bad Muskau, Görlitz, 02953;480168.3179876465;5711192.30082957;208.2;443.1;289.0;1523.1;HMF;DE.N.SFH.01.GEN;Existing_state;12800;0.5;4;0.1;0.01;-15;20;15;191311.64
Bad Muskau - Mužakow Jahnstraße, Bad Muskau, Görlitz, 02953;480336.99758980144;5711291.171257713;80.0;187.2;107.3;332.3;HMF;DE.N.SFH.01.GEN;Existing_state;12800;0.5;4;0.1;0.01;-15;20;15;72277.75
