Zeit;Gesamtwärmebedarf_Gebäude_kW;Gesamtheizlast_Gebäude_kW;Gesamtstrombedarf_Wärmepumpen_Gebäude_kW;Wärmeerzeugung_Heizentrale Haupteinspeisung_1_kW;Massenstrom_Heizentrale Haupteinspeisung_1_kg/s;Delta p_Heizentrale Haupteinspeisung_1_bar;Vorlauftemperatur_Heizentrale Haupteinspeisung_1_°C;Rücklauftemperatur_Heizentrale Haupteinspeisung_1_°C;Vorlaufdruck_Heizentrale Haupteinspeisung_1_bar;Rücklaufdruck_Heizentrale Haupteinspeisung_1_bar
2021-05-20 19:00:00;976.3243807768871;976.3243807768871;0.0;1026.5674986406018;23.93264335775657;1.1915797463303175;70.65999999999997;60.447135948338484;3.6915797463303197;2.500000000000002
2021-05-20 20:00:00;1120.0667898312236;1120.0667898312236;0.0;1171.1484126660364;25.776235081899348;1.1915797463303175;71.56;60.74209508593475;3.6915797463303197;2.500000000000002
2021-05-20 21:00:00;1094.9064643967508;1094.9064643967508;0.0;1146.2435720928438;23.18340441458027;1.1915797463303175;72.51999999999998;60.74799571054615;3.6915797463303197;2.500000000000002
2021-05-20 22:00:00;897.9037100928065;897.9037100928065;0.0;948.4040967574986;17.567292792724803;1.1915797463303175;72.69999999999999;59.845970532153274;3.6915797463303197;2.500000000000002
2021-05-20 23:00:00;634.8010630237251;634.8010630237251;0.0;684.7336561863735;12.285893915548879;1.1915797463303175;73.18;59.91016192210594;3.6915797463303197;2.500000000000002
2021-05-21 00:00:00;470.95633210163845;470.95633210163845;0.0;520.6460872870114;8.890665817229754;1.1915797463303175;73.84000000000003;59.89690994754085;3.6915797463303197;2.500000000000002
2021-05-21 01:00:00;402.47874535214385;402.47874535214385;0.0;451.96395499150117;7.338344435229696;1.1915797463303175;74.19999999999999;59.53586609023773;3.6915797463303197;2.500000000000002
2021-05-21 02:00:00;503.85497068520255;503.85497068520255;0.0;554.2003064334143;9.037179296782236;1.1915797463303175;74.80000000000001;60.19893371821223;3.6915797463303197;2.500000000000002
2021-05-21 03:00:00;549.3770027857191;549.3770027857191;0.0;599.8647305547504;9.335294164362363;1.1915797463303175;75.22000000000003;59.92054255048487;3.6915797463303197;2.500000000000002
2021-05-21 04:00:00;750.616375461791;750.616375461791;0.0;801.5089851258268;12.359692732343118;1.1915797463303175;75.03999999999996;59.5998530010682;3.6915797463303197;2.500000000000002
