Zeit;Gesamtwärmebedarf_Gebäude_kW;Gesamtheizlast_Gebäude_kW;Gesamtstrombedarf_Wärmepumpen_Gebäude_kW;Wärmeerzeugung_Heizentrale Haupteinspeisung_1_kW;Massenstrom_Heizentrale Haupteinspeisung_1_kg/s;Delta p_Heizentrale Haupteinspeisung_1_bar;Vorlauftemperatur_Heizentrale Haupteinspeisung_1_°C;Rücklauftemperatur_Heizentrale Haupteinspeisung_1_°C;Vorlaufdruck_Heizentrale Haupteinspeisung_1_bar;Rücklaufdruck_Heizentrale Haupteinspeisung_1_bar
2021-06-24 04:00:00;199.34925949052487;339.736061948641;140.38680245811614;189.44625659435556;3.172637750242785;1.1641556773213235;5.680000000000007;-8.537271280540267;3.6641556773213235;2.5
2021-06-24 05:00:00;333.57209501387143;568.482021079978;234.90992606610664;323.0747752266319;5.30743190157313;1.1641556773213235;5.4599999999999795;-9.03336834775979;3.6641556773213235;2.5
2021-06-24 06:00:00;349.1027795995373;594.9498074865354;245.84702788699812;338.38375328723123;5.55453905488524;1.1641556773213235;5.259999999999991;-9.244814802881649;3.6641556773213235;2.5
2021-06-24 07:00:00;339.02064103043176;577.7675713335527;238.74693030312096;328.20175166842904;5.39412316675309;1.1641556773213235;5.1200000000000045;-9.366742662534705;3.6641556773213235;2.5
2021-06-24 08:00:00;299.97272791174817;511.22112784959904;211.24839993785088;289.15551408575396;4.772835766296708;1.1641556773213235;5.0;-9.424663731142232;3.6641556773213235;2.5
2021-06-24 09:00:00;299.32076514053574;510.11003636626515;210.78927122572944;288.50544448064534;4.76246245251449;1.1641556773213235;5.0;-9.423583005704074;3.6641556773213235;2.5
2021-06-24 10:00:00;277.4567279202352;472.84878983589385;195.39206191565864;266.7061473196911;4.414585965317982;1.1641556773213235;5.0;-9.384466436134176;3.6641556773213235;2.5
2021-06-24 11:00:00;263.56759245494317;449.1785730570158;185.61098060207266;252.85956966185347;4.193597334207527;1.1641556773213235;5.0;-9.356328146291958;3.6641556773213235;2.5
2021-06-24 12:00:00;264.3941881113017;450.5872783305283;186.1930902192266;253.68359741508107;4.206749214181412;1.1641556773213235;5.0;-9.35808351108318;3.6641556773213235;2.5
2021-06-24 13:00:00;258.43338563164576;440.4287276257626;181.99534199411679;247.74141944532127;4.111907488172566;1.1641556773213235;5.0;-9.345179802452435;3.6641556773213235;2.5
2021-06-24 14:00:00;273.4750981389026;466.06319541981986;192.5880972809173;262.73659349735726;4.35123465614801;1.1641556773213235;5.0;-9.376685407369848;3.6641556773213235;2.5
2021-06-24 15:00:00;221.6789844045486;377.7909452528222;156.11196084827358;211.1083288292772;3.5271119237000543;1.1641556773213235;5.0;-9.250720959193757;3.6641556773213235;2.5
2021-06-24 16:00:00;220.61954490132837;375.9854215924047;155.36587669107635;210.05258288352152;3.510255288803951;1.1641556773213235;5.0;-9.247544870507852;3.6641556773213235;2.5
2021-06-24 17:00:00;226.25436599537807;385.5884265555035;159.33406056012544;215.94422507061338;3.599910357921687;1.1641556773213235;5.319999999999993;-8.962381107168085;3.6641556773213235;2.5
2021-06-24 18:00:00;244.83530497493066;417.2545338305157;172.41922885558503;234.53516187187142;3.8955498007148868;1.1641556773213235;5.399999999999977;-8.934742992463043;3.6641556773213235;2.5
2021-06-24 19:00:00;293.1271188140183;499.5546672745945;206.42754846057625;282.93410138899833;4.663915971583424;1.1641556773213235;5.680000000000007;-8.763927087435263;3.6641556773213235;2.5
2021-06-24 20:00:00;303.10447765203617;516.55833515347;213.45385750143387;292.99182465820877;4.8226647200005734;1.1641556773213235;5.800000000000011;-8.665023447026215;3.6641556773213235;2.5
2021-06-24 21:00:00;294.50089751050143;501.8958957573334;207.394998246832;284.42866734967794;4.685774025624525;1.1641556773213235;5.819999999999993;-8.632491926284672;3.6641556773213235;2.5
2021-06-24 22:00:00;240.87695957828416;410.5086212531321;169.63166167484798;230.93694248747383;3.8325689670371372;1.1641556773213235;5.800000000000011;-8.546770215866161;3.6641556773213235;2.5
