time_steps;Last_L;Biomassekessel_1;Biomassekessel_2;Gaskessel_1;el_Leistungsbedarf_L;el_Leistung_L;el_Leistung_ges_L
2021-01-01 00:00:00;1306.2622840483734;50.0;50.0;1206.2622840483734;0.0;0.0;0.0
2021-01-01 01:00:00;1368.420646049933;50.0;50.0;1268.420646049933;0.0;0.0;0.0
2021-01-01 02:00:00;1230.5527866345858;50.0;50.0;1130.5527866345858;0.0;0.0;0.0
2021-01-01 03:00:00;1362.102226862214;50.0;50.0;1262.102226862214;0.0;0.0;0.0
2021-01-01 04:00:00;1956.4788323917128;50.0;50.0;1856.4788323917128;0.0;0.0;0.0
2021-01-01 05:00:00;2782.280100481132;50.0;50.0;2682.280100481132;0.0;0.0;0.0
2021-01-01 06:00:00;2771.672632898395;50.0;50.0;2671.672632898395;0.0;0.0;0.0
2021-01-01 07:00:00;2700.183648338327;50.0;50.0;2600.183648338327;0.0;0.0;0.0
2021-01-01 08:00:00;2668.4459471872547;50.0;50.0;2568.4459471872547;0.0;0.0;0.0
2021-01-01 09:00:00;2613.560996588345;50.0;50.0;2513.560996588345;0.0;0.0;0.0
2021-01-01 10:00:00;2416.596522626905;50.0;50.0;2316.596522626905;0.0;0.0;0.0
2021-01-01 11:00:00;2329.012416209223;50.0;50.0;2229.012416209223;0.0;0.0;0.0
2021-01-01 12:00:00;2270.9680481047167;50.0;50.0;2170.9680481047167;0.0;0.0;0.0
2021-01-01 13:00:00;2207.088613259997;50.0;50.0;2107.088613259997;0.0;0.0;0.0
2021-01-01 14:00:00;2453.339820464133;50.0;50.0;2353.339820464133;0.0;0.0;0.0
2021-01-01 15:00:00;2477.373883102709;50.0;50.0;2377.373883102709;0.0;0.0;0.0
2021-01-01 16:00:00;2582.8538312165924;50.0;50.0;2482.8538312165924;0.0;0.0;0.0
2021-01-01 17:00:00;2671.7651298883256;50.0;50.0;2571.7651298883256;0.0;0.0;0.0
2021-01-01 18:00:00;2736.873798454206;50.0;50.0;2636.873798454206;0.0;0.0;0.0
2021-01-01 19:00:00;2739.279658698324;50.0;50.0;2639.279658698324;0.0;0.0;0.0
2021-01-01 20:00:00;2685.6150262044816;50.0;50.0;2585.6150262044816;0.0;0.0;0.0
2021-01-01 21:00:00;2452.14621906443;50.0;50.0;2352.14621906443;0.0;0.0;0.0
2021-01-01 22:00:00;2100.956664558032;50.0;50.0;2000.9566645580321;0.0;0.0;0.0
2021-01-01 23:00:00;1553.984601877832;50.0;50.0;1453.984601877832;0.0;0.0;0.0
2021-01-02 00:00:00;1389.1467086676005;50.0;50.0;1289.1467086676005;0.0;0.0;0.0
2021-01-02 01:00:00;1495.5027895851829;50.0;50.0;1395.5027895851829;0.0;0.0;0.0
2021-01-02 02:00:00;1523.288547638356;50.0;50.0;1423.288547638356;0.0;0.0;0.0
2021-01-02 03:00:00;1646.2716345871074;50.0;50.0;1546.2716345871074;0.0;0.0;0.0
2021-01-02 04:00:00;2047.2458020633333;50.0;50.0;1947.2458020633333;0.0;0.0;0.0
2021-01-02 05:00:00;3084.2617937536484;50.0;50.0;2984.2617937536484;0.0;0.0;0.0
2021-01-02 06:00:00;3084.0113549955663;50.0;50.0;2984.0113549955663;0.0;0.0;0.0
2021-01-02 07:00:00;3048.076946631569;50.0;50.0;2948.076946631569;0.0;0.0;0.0
2021-01-02 08:00:00;2967.3150285553493;50.0;50.0;2867.3150285553493;0.0;0.0;0.0
2021-01-02 09:00:00;2904.345333363447;50.0;50.0;2804.345333363447;0.0;0.0;0.0
2021-01-02 10:00:00;2829.568610808656;50.0;50.0;2729.568610808656;0.0;0.0;0.0
2021-01-02 11:00:00;2720.0142099262675;50.0;50.0;2620.0142099262675;0.0;0.0;0.0
2021-01-02 12:00:00;2695.836589446871;50.0;50.0;2595.836589446871;0.0;0.0;0.0
2021-01-02 13:00:00;2717.317923788211;50.0;50.0;2617.317923788211;0.0;0.0;0.0
2021-01-02 14:00:00;2741.7693317779517;50.0;50.0;2641.7693317779517;0.0;0.0;0.0
2021-01-02 15:00:00;2771.0724938557096;50.0;50.0;2671.0724938557096;0.0;0.0;0.0
2021-01-02 16:00:00;2893.3944922534456;50.0;50.0;2793.3944922534456;0.0;0.0;0.0
2021-01-02 17:00:00;2999.627278782861;50.0;50.0;2899.627278782861;0.0;0.0;0.0
2021-01-02 18:00:00;3084.403587057564;50.0;50.0;2984.403587057564;0.0;0.0;0.0
2021-01-02 19:00:00;3087.1186662601203;50.0;50.0;2987.1186662601203;0.0;0.0;0.0
2021-01-02 20:00:00;3043.889564162512;50.0;50.0;2943.889564162512;0.0;0.0;0.0
2021-01-02 21:00:00;2778.985380326977;50.0;50.0;2678.985380326977;0.0;0.0;0.0
2021-01-02 22:00:00;2344.3899655277974;50.0;50.0;2244.3899655277974;0.0;0.0;0.0
2021-01-02 23:00:00;1731.3556044936795;50.0;50.0;1631.3556044936795;0.0;0.0;0.0
2021-01-03 00:00:00;1424.843262280619;50.0;50.0;1324.843262280619;0.0;0.0;0.0
