Zeit;Gesamtwärmebedarf_Gebäude_kW;Gesamtheizlast_Gebäude_kW;Gesamtstrombedarf_Wärmepumpen_Gebäude_kW;Wärmeerzeugung_Heizentrale Haupteinspeisung_1_kW;Massenstrom_Heizentrale Haupteinspeisung_1_kg/s;Delta p_Heizentrale Haupteinspeisung_1_bar;Vorlauftemperatur_Heizentrale Haupteinspeisung_1_°C;Rücklauftemperatur_Heizentrale Haupteinspeisung_1_°C;Vorlaufdruck_Heizentrale Haupteinspeisung_1_bar;Rücklaufdruck_Heizentrale Haupteinspeisung_1_bar
2021-01-01 00:00:00;902.0002230724981;902.0002230724981;0.0;931.3527761573764;11.436979282309306;1.2992722740037213;77.80000000000001;58.41108134270604;3.7992722740037213;2.5
2021-01-01 01:00:00;710.0784907741827;710.0784907741827;0.0;738.9822577897625;9.664340981864894;1.253575627130238;77.32;59.11408643105864;3.753575627130238;2.5
2021-01-01 02:00:00;608.1081560090761;608.1081560090761;0.0;636.749060359475;8.554870389575647;1.253575627130238;77.07999999999998;59.35829151941965;3.753575627130238;2.5
2021-01-01 03:00:00;756.9040328139106;756.9040328139106;0.0;786.1059272046134;10.839884091659702;1.253575627130238;77.32;60.05338752303919;3.753575627130238;2.5
2021-01-01 04:00:00;783.5014533470933;783.5014533470933;0.0;812.7868862339052;11.027878910502965;1.253575627130238;77.5;59.95168551730836;3.753575627130238;2.5
2021-01-01 05:00:00;865.1598649512013;865.1598649512013;0.0;894.6460369491188;12.040541376732936;1.253575627130238;77.56;59.86885518237722;3.753575627130238;2.5
2021-01-01 06:00:00;877.0764485514843;877.0764485514843;0.0;906.5945141187666;12.13808101372721;1.253575627130238;77.62;59.83664228053607;3.753575627130238;2.5
2021-01-01 07:00:00;954.1659412742628;954.1659412742628;0.0;983.8926659544178;13.155843165045683;1.253575627130238;77.68;59.87345156204117;3.753575627130238;2.5
2021-01-01 08:00:00;1045.135067442467;1045.135067442467;0.0;1075.100413108545;14.341686732978333;1.253575627130238;77.74000000000001;59.891591120258056;3.753575627130238;2.5
2021-01-01 09:00:00;1037.5973615569087;1037.5973615569087;0.0;1067.5284752040589;14.17099332415997;1.253575627130238;77.74000000000001;59.80382286245106;3.753575627130238;2.5
2021-01-01 10:00:00;1143.2910816296987;1143.2910816296987;0.0;1173.3942638037013;15.612420704439504;1.253575627130238;77.44;59.54529988213261;3.753575627130238;2.5
2021-01-01 11:00:00;972.5062370764202;972.5062370764202;0.0;1002.2334216226716;13.483285239209561;1.253575627130238;77.5;59.802013128497435;3.753575627130238;2.5
2021-01-01 12:00:00;1004.8942180771379;1004.8942180771379;0.0;1034.6230170554738;13.9246789880333;1.253575627130238;77.25999999999999;59.56919263587065;3.753575627130238;2.5
2021-01-01 13:00:00;1121.018966238495;1121.018966238495;0.0;1151.1435890252387;15.732544204640975;1.253575627130238;77.44;60.01867237837354;3.753575627130238;2.5
2021-01-01 14:00:00;749.1934561760788;749.1934561760788;0.0;778.6926720916435;10.403275061720898;1.253575627130238;78.45999999999998;60.638399007551754;3.753575627130238;2.5
2021-01-01 15:00:00;786.7511269677279;786.7511269677279;0.0;816.2706598199371;10.401885503691801;1.253575627130238;78.69999999999999;60.015872297286194;3.753575627130238;2.5
2021-01-01 16:00:00;991.7524790477203;991.7524790477203;0.0;1021.7642497179594;12.918156949497732;1.253575627130238;78.75999999999999;59.92780874664487;3.753575627130238;2.5
2021-01-01 17:00:00;689.6354750234614;689.6354750234614;0.0;718.7988530073341;8.918636208950142;1.253575627130238;78.63999999999999;59.450677771830385;3.753575627130238;2.5
2021-01-01 18:00:00;481.1917992240861;481.1917992240861;0.0;509.869881665511;6.30161716085442;1.2084478875752271;78.75999999999999;59.49548618172787;3.708447887575227;2.5
2021-01-01 19:00:00;461.73712362914506;461.73712362914506;0.0;490.42346250370264;6.067663289263206;1.2084478875752271;78.88;59.635772773526924;3.708447887575227;2.5
2021-01-01 20:00:00;817.1775924993743;817.1775924993743;0.0;846.7669395305537;10.68947070613906;1.2084478875752271;78.75999999999999;59.89927418661466;3.708447887575227;2.5
2021-01-01 21:00:00;791.1933653709982;791.1933653709982;0.0;820.6146661704123;10.263647645534672;1.2084478875752271;78.57999999999998;59.543449733069;3.708447887575227;2.5
2021-01-01 22:00:00;776.8815222330189;776.8815222330189;0.0;806.2975732961679;10.17545045808778;1.2084478875752271;78.57999999999998;59.713453159611674;3.708447887575227;2.5
2021-01-01 23:00:00;682.4790426751142;682.4790426751142;0.0;711.7111579415467;8.944500000047583;1.2084478875752271;78.75999999999999;59.81483396453365;3.708447887575227;2.5
2021-01-02 00:00:00;983.8948246012017;983.8948246012017;0.0;1014.0205811375138;12.807294604765215;1.2084478875752271;79.18;60.3287531793344;3.708447887575227;2.5
2021-01-02 01:00:00;441.66354839053366;441.66354839053366;0.0;470.3499485972841;5.596143630887163;1.2084478875752271;79.42000000000002;59.40834726448941;3.708447887575227;2.5
2021-01-02 02:00:00;788.1567245107726;788.1567245107726;0.0;817.7673910601908;10.0338957558645;1.2084478875752271;79.30000000000001;59.89512213217904;3.708447887575227;2.5
2021-01-02 03:00:00;726.026278534677;726.026278534677;0.0;755.3749116871169;9.164025169823264;1.2084478875752271;79.12;59.494216993471866;3.708447887575227;2.5
2021-01-02 04:00:00;600.2488087114727;600.2488087114727;0.0;629.4202020428668;7.6580263514910785;1.2084478875752271;79.42000000000002;59.85073424026939;3.708447887575227;2.5
