DAKTEXNET;;;;;;;;
VERV1.0.0;;;;;;;;
FMTDELI;;;;;;;;
ZWEDatenexport aus STANET;;;;;;;;
NUTJonas Pfeiffer;;;;;;;;
QUESTANET 10.2.29 64-Bit Jun 26 2022;;;;;;;;
MEDF;;;;;;;;
DAT08.11.2022;;;;;;;;
ZEI07:06:07;;;;;;;;
TTR;;;;;;;;
DTR.;;;;;;;;
NEBPrototyp;;;;;;;;
NENHochschulcampus Görlitz;;;;;;;;
;;;;;;;;
REM Feldbeschreibungen Messdaten;;;;;;;;
FEL;ME2;ME2;MESSPUNKT;C;24;0;Messstelle;
FEL;ME2;ME2;VALUE;N;14;4;Messwert;
FEL;ME2;ME2;TIME;C;19;0;Datum/Zeit;MESZ
FEL;ME2;ME2;ISACTIVE;N;1;0;Aktiv f.Berechnung;
FEL;ME2;ME2;!RECCOUNT;N;8;0;Anzahl Sätze*;
FEL;ME2;ME2;!DELETED;C;1;0;Gelöscht*;*
FEL;ME2;ME2;!RECNO;N;8;0;Satz No*;
;;;;;;;;
REM Messdatendaten;;;;;;;;
REM;Messstelle;Messwert;Datum/Zeit;Aktiv f.Berechnung;Anzahl Sätze*;Gelöscht*;Satz No*;
REM;;;MESZ;;;*;;
REM FLDNAM ME2;MESSPUNKT;VALUE;TIME;ISACTIVE;!RECCOUNT;!DELETED;!RECNO;
ME2;NETWORK_PARAMS;-6;3.1.21 5:00;0;8764;;54;
ME2;NETWORK_PARAMS;-6.4;3.1.21 6:00;0;8764;;55;
ME2;NETWORK_PARAMS;-6.5;3.1.21 7:00;0;8764;;56;
ME2;NETWORK_PARAMS;-6.2;3.1.21 8:00;0;8764;;57;
ME2;NETWORK_PARAMS;-5.7;3.1.21 9:00;0;8764;;58;
ME2;NETWORK_PARAMS;-5;3.1.21 10:00;0;8764;;59;
ME2;NETWORK_PARAMS;-4.2;3.1.21 11:00;0;8764;;60;
ME2;NETWORK_PARAMS;-3.8;3.1.21 12:00;0;8764;;61;
ME2;NETWORK_PARAMS;-3.3;3.1.21 13:00;0;8764;;62;
ME2;NETWORK_PARAMS;-3.4;3.1.21 14:00;0;8764;;63;
ME2;NETWORK_PARAMS;-3.8;3.1.21 15:00;0;8764;;64;
ME2;NETWORK_PARAMS;-4.1;3.1.21 16:00;0;8764;;65;
ME2;NETWORK_PARAMS;-4.5;3.1.21 17:00;0;8764;;66;
ME2;NETWORK_PARAMS;-5.2;3.1.21 18:00;0;8764;;67;
ME2;NETWORK_PARAMS;-5.3;3.1.21 19:00;0;8764;;68;
ME2;NETWORK_PARAMS;-5.5;3.1.21 20:00;0;8764;;69;
ME2;NETWORK_PARAMS;-5.7;3.1.21 21:00;0;8764;;70;
ME2;NETWORK_PARAMS;-6.1;3.1.21 22:00;0;8764;;71;
ME2;NETWORK_PARAMS;-6.3;3.1.21 23:00;0;8764;;72;
ME2;NETWORK_PARAMS;-6.4;4.1.21 0:00;0;8764;;73;
ME2;NETWORK_PARAMS;-7.1;4.1.21 1:00;0;8764;;74;
ME2;NETWORK_PARAMS;-7.6;4.1.21 2:00;0;8764;;75;
ME2;NETWORK_PARAMS;-8;4.1.21 3:00;0;8764;;76;
ME2;NETWORK_PARAMS;-8.4;4.1.21 4:00;0;8764;;77;
ME2;NETWORK_PARAMS;-8.6;4.1.21 5:00;0;8764;;78;
ME2;NETWORK_PARAMS;-8.8;4.1.21 6:00;0;8764;;79;
ME2;NETWORK_PARAMS;-9.5;4.1.21 7:00;0;8764;;80;
ME2;NETWORK_PARAMS;-9.3;4.1.21 8:00;0;8764;;81;
ME2;NETWORK_PARAMS;-8.7;4.1.21 9:00;0;8764;;82;
ME2;NETWORK_PARAMS;-8;4.1.21 10:00;0;8764;;83;
ME2;NETWORK_PARAMS;-7.2;4.1.21 11:00;0;8764;;84;
ME2;NETWORK_PARAMS;-6.3;4.1.21 12:00;0;8764;;85;
ME2;NETWORK_PARAMS;-5.9;4.1.21 13:00;0;8764;;86;
ME2;NETWORK_PARAMS;-5.5;4.1.21 14:00;0;8764;;87;
ME2;NETWORK_PARAMS;-5.9;4.1.21 15:00;0;8764;;88;
ME2;NETWORK_PARAMS;-6.2;4.1.21 16:00;0;8764;;89;
ME2;NETWORK_PARAMS;-6.2;4.1.21 17:00;0;8764;;90;
ME2;NETWORK_PARAMS;-6.4;4.1.21 18:00;0;8764;;91;
ME2;NETWORK_PARAMS;-6.3;4.1.21 19:00;0;8764;;92;
ME2;NETWORK_PARAMS;-3.3;4.1.21 20:00;0;8764;;93;
ME2;NETWORK_PARAMS;-2.7;4.1.21 21:00;0;8764;;94;
ME2;NETWORK_PARAMS;-2.5;4.1.21 22:00;0;8764;;95;
ME2;NETWORK_PARAMS;-2.8;4.1.21 23:00;0;8764;;96;
ME2;NETWORK_PARAMS;-2.5;5.1.21 0:00;0;8764;;97;
ME2;NETWORK_PARAMS;-2.9;5.1.21 1:00;0;8764;;98;
ME2;NETWORK_PARAMS;-3;5.1.21 2:00;0;8764;;99;
ME2;NETWORK_PARAMS;-3.2;5.1.21 3:00;0;8764;;100;
ME2;NETWORK_PARAMS;-3.6;5.1.21 4:00;0;8764;;101;
ME2;NETWORK_PARAMS;-3.5;5.1.21 5:00;0;8764;;102;
