time_steps;Last_L;Erzeuger 0;Erzeuger 1;Erzeuger 2;Erzeuger 3;el_Leistungsbedarf_L;el_Leistung_L;el_Leistung_ges_L
1973-05-27 00:04:00;618.2956827354868;0.0;240.0;240.0;138.29568273548682;0.0;0.0;0.0
1973-05-27 00:08:00;910.1477499009384;0.0;240.0;240.0;430.1477499009384;0.0;0.0;0.0
1973-05-27 00:12:00;969.7952119273286;0.0;240.0;240.0;489.79521192732864;0.0;0.0;0.0
1973-05-27 00:16:00;1041.1134698564397;0.0;240.0;240.0;561.1134698564397;0.0;0.0;0.0
1973-05-27 00:20:00;858.121133577914;0.0;240.0;240.0;378.12113357791395;0.0;0.0;0.0
1973-05-27 00:24:00;1058.212041332139;0.0;240.0;240.0;578.212041332139;0.0;0.0;0.0
1973-05-27 00:28:00;1026.1440083666353;0.0;240.0;240.0;546.1440083666353;0.0;0.0;0.0
1973-05-27 00:32:00;1072.669668140001;0.0;240.0;240.0;592.669668140001;0.0;0.0;0.0
1973-05-27 00:36:00;1096.3412673767953;0.0;240.0;240.0;616.3412673767953;0.0;0.0;0.0
1973-05-27 00:40:00;1102.7740897568665;0.0;240.0;240.0;622.7740897568665;0.0;0.0;0.0
1973-05-27 00:44:00;1045.3455989529689;0.0;240.0;240.0;565.3455989529689;0.0;0.0;0.0
1973-05-27 00:48:00;905.0452373852831;0.0;240.0;240.0;425.04523738528314;0.0;0.0;0.0
1973-05-27 00:52:00;1076.375172550802;0.0;240.0;240.0;596.3751725508021;0.0;0.0;0.0
1973-05-27 00:56:00;1123.5499993813876;0.0;240.0;240.0;643.5499993813876;0.0;0.0;0.0
1973-05-27 01:00:00;877.7845269575346;0.0;240.0;240.0;397.7845269575346;0.0;0.0;0.0
1973-05-27 01:04:00;987.3358157194724;0.0;240.0;240.0;507.3358157194724;0.0;0.0;0.0
1973-05-27 01:08:00;1013.0707324606442;0.0;240.0;240.0;533.0707324606442;0.0;0.0;0.0
1973-05-27 01:12:00;941.4589443249984;0.0;240.0;240.0;461.45894432499836;0.0;0.0;0.0
1973-05-27 01:16:00;899.9346748930986;0.0;240.0;240.0;419.93467489309865;0.0;0.0;0.0
1973-05-27 01:20:00;945.0999235656632;0.0;240.0;240.0;465.0999235656632;0.0;0.0;0.0
1973-05-27 01:24:00;952.326613024088;0.0;240.0;240.0;472.32661302408803;0.0;0.0;0.0
