Zeitpunkt;Heizlast_Netz_kW;Vorlauftemperatur_Netz_°C;Rücklauftemperatur_Netz_°C
2021-04-30 14:00:00;194.29635591497836;85.0;54.90133820352702
2021-04-30 15:00:00;181.6934328459524;85.0;54.41907052980622
2021-04-30 16:00:00;177.6114800333821;85.0;53.874748548970786
2021-04-30 17:00:00;179.86282673666017;85.0;53.16161309440099
2021-04-30 18:00:00;184.67022734440278;85.0;52.75076476282317
2021-04-30 19:00:00;188.8504071926871;85.0;52.69265325261
2021-04-30 20:00:00;195.02370125060722;85.0;52.63717590132279
2021-04-30 21:00:00;197.64847878362872;85.0;52.90969479650414
2021-04-30 22:00:00;185.20721858733867;85.0;53.94342500623469
2021-04-30 23:00:00;163.29067767877825;85.0;53.48665716652948
