Land;Bundesland;Stadt;Adresse;Wärmebedarf;Gebäudetyp;WW_Anteil;Typ_Heizflächen;VLT_max;Steigung_Heizkurve;RLT_max
Deutschland;Sachsen;Görlitz;Furtstraße 1;1100000;GBD;0.4;HK;70;1.5;55
Deutschland;Sachsen;Görlitz;Am Stadtpark 1;1300000;GBD;0.2;HK;70;1.5;55
