time_steps;Last_L;Erzeuger 0;el_Leistungsbedarf_L;el_Leistung_L;el_Leistung_ges_L
2021-01-08 01:00:00;175.29210093224253;175.29210093224253;120.31956877466554;0.0;-120.31956877466554
2021-01-08 02:00:00;182.09542701769823;182.09542701769823;120.31956877466554;0.0;-120.31956877466554
2021-01-08 03:00:00;201.2012165493184;200.0;120.31956877466554;0.0;-120.31956877466554
2021-01-08 04:00:00;242.01395828845585;200.0;120.31956877466554;0.0;-120.31956877466554
2021-01-08 05:00:00;319.4658601979445;200.0;120.31956877466554;0.0;-120.31956877466554
2021-01-08 06:00:00;327.7904083115294;200.0;120.31956877466554;0.0;-120.31956877466554
2021-01-08 07:00:00;331.07243990478986;200.0;120.31956877466554;0.0;-120.31956877466554
2021-01-08 08:00:00;343.2804955240392;200.0;120.31956877466554;0.0;-120.31956877466554
2021-01-08 09:00:00;341.34728256042337;200.0;120.31956877466554;0.0;-120.31956877466554
2021-01-08 10:00:00;334.3453801020324;200.0;120.31956877466554;0.0;-120.31956877466554
2021-01-08 11:00:00;311.39024311180265;200.0;120.31956877466554;0.0;-120.31956877466554
2021-01-08 12:00:00;310.6347247255145;200.0;120.31956877466554;0.0;-120.31956877466554
2021-01-08 13:00:00;301.6029524988412;200.0;120.31956877466554;0.0;-120.31956877466554
2021-01-08 14:00:00;301.6355904104792;200.0;120.31956877466554;0.0;-120.31956877466554
2021-01-08 15:00:00;302.89837998776164;200.0;120.31956877466554;0.0;-120.31956877466554
2021-01-08 16:00:00;319.7471663647066;200.0;120.31956877466554;0.0;-120.31956877466554
2021-01-08 17:00:00;324.5364584309881;200.0;120.31956877466554;0.0;-120.31956877466554
2021-01-08 18:00:00;331.78019859830107;200.0;120.31956877466554;0.0;-120.31956877466554
2021-01-08 19:00:00;324.57863245162764;200.0;120.31956877466554;0.0;-120.31956877466554
2021-01-08 20:00:00;313.09435664354686;200.0;120.31956877466554;0.0;-120.31956877466554
2021-01-08 21:00:00;283.55726895435794;200.0;120.31956877466554;0.0;-120.31956877466554
2021-01-08 22:00:00;242.84261065361548;200.0;120.31956877466554;0.0;-120.31956877466554
2021-01-08 23:00:00;179.05001922391247;179.05001922391247;120.31956877466554;0.0;-120.31956877466554
2021-01-09 00:00:00;164.23565623681023;164.23565623681023;120.31956877466554;0.0;-120.31956877466554
2021-01-09 01:00:00;172.3262638440865;172.3262638440865;120.31956877466554;0.0;-120.31956877466554
2021-01-09 02:00:00;176.37604463879603;176.37604463879603;120.31956877466554;0.0;-120.31956877466554
2021-01-09 03:00:00;193.2197290403301;193.2197290403301;120.31956877466554;0.0;-120.31956877466554
2021-01-09 04:00:00;231.33794593588905;200.0;120.31956877466554;0.0;-120.31956877466554
2021-01-09 05:00:00;307.6654663143805;200.0;120.31956877466554;0.0;-120.31956877466554
2021-01-09 06:00:00;316.12284245417675;200.0;120.31956877466554;0.0;-120.31956877466554
2021-01-09 07:00:00;314.0596013772864;200.0;120.31956877466554;0.0;-120.31956877466554
2021-01-09 08:00:00;322.73011787937213;200.0;120.31956877466554;0.0;-120.31956877466554
2021-01-09 09:00:00;318.6518883925961;200.0;120.31956877466554;0.0;-120.31956877466554
2021-01-09 10:00:00;310.8819230741539;200.0;120.31956877466554;0.0;-120.31956877466554
2021-01-09 11:00:00;296.1553830357292;200.0;120.31956877466554;0.0;-120.31956877466554
2021-01-09 12:00:00;295.8786940693371;200.0;120.31956877466554;0.0;-120.31956877466554
2021-01-09 13:00:00;287.6285742340113;200.0;120.31956877466554;0.0;-120.31956877466554
2021-01-09 14:00:00;285.890210471493;200.0;120.31956877466554;0.0;-120.31956877466554
2021-01-09 15:00:00;287.2858731121161;200.0;120.31956877466554;0.0;-120.31956877466554
2021-01-09 16:00:00;305.58158658916284;200.0;120.31956877466554;0.0;-120.31956877466554
2021-01-09 17:00:00;315.80709066867;200.0;120.31956877466554;0.0;-120.31956877466554
2021-01-09 18:00:00;323.54105689528507;200.0;120.31956877466554;0.0;-120.31956877466554
2021-01-09 19:00:00;323.4342438998876;200.0;120.31956877466554;0.0;-120.31956877466554
2021-01-09 20:00:00;317.42438612597186;200.0;120.31956877466554;0.0;-120.31956877466554
2021-01-09 21:00:00;293.6848520918402;200.0;120.31956877466554;0.0;-120.31956877466554
2021-01-09 22:00:00;249.91452405113543;200.0;120.31956877466554;0.0;-120.31956877466554
2021-01-09 23:00:00;187.7578593451019;187.7578593451019;120.31956877466554;0.0;-120.31956877466554
2021-01-10 00:00:00;127.91663152409056;127.91663152409056;119.50001195000117;0.0;-119.50001195000117
2021-01-10 01:00:00;138.83940722418;138.83940722418;119.50001195000117;0.0;-119.50001195000117
2021-01-10 02:00:00;142.26062763525505;142.26062763525505;119.50001195000117;0.0;-119.50001195000117
2021-01-10 03:00:00;154.22688816876095;154.22688816876095;119.50001195000117;0.0;-119.50001195000117
2021-01-10 04:00:00;187.92912493550287;187.92912493550287;119.50001195000117;0.0;-119.50001195000117
2021-01-10 05:00:00;275.4120898828712;200.0;113.75011375011388;0.0;-113.75011375011388
2021-01-10 06:00:00;295.04679659598474;200.0;110.55831951354338;0.0;-110.55831951354338
2021-01-10 07:00:00;284.8331672916271;200.0;109.94133530348205;0.0;-109.94133530348205
2021-01-10 08:00:00;274.404876456603;200.0;110.55831951354338;0.0;-110.55831951354338
2021-01-10 09:00:00;260.1129525446356;200.0;113.09709611896015;0.0;-113.09709611896015
2021-01-10 10:00:00;253.5116881478728;200.0;113.09709611896015;0.0;-113.09709611896015
2021-01-10 11:00:00;245.1798113992112;200.0;113.09709611896015;0.0;-113.09709611896015
2021-01-10 12:00:00;242.9386405353676;200.0;115.07903628211874;0.0;-115.07903628211874
2021-01-10 13:00:00;242.89798151621815;200.0;113.75011375011388;0.0;-113.75011375011388
2021-01-10 14:00:00;243.95193956319287;200.0;113.09709611896015;0.0;-113.09709611896015
2021-01-10 15:00:00;246.1246720565098;200.0;114.41071616531906;0.0;-114.41071616531906
2021-01-10 16:00:00;256.3021392775426;200.0;118.54127844398008;0.0;-118.54127844398008
2021-01-10 17:00:00;265.4121054794411;200.0;119.50001195000117;0.0;-119.50001195000117
2021-01-10 18:00:00;271.55925439026777;200.0;119.50001195000117;0.0;-119.50001195000117
2021-01-10 19:00:00;271.3528248658565;200.0;119.50001195000117;0.0;-119.50001195000117
2021-01-10 20:00:00;267.05221434035394;200.0;119.50001195000117;0.0;-119.50001195000117
2021-01-10 21:00:00;245.1385509189972;200.0;119.50001195000117;0.0;-119.50001195000117
2021-01-10 22:00:00;211.939957530982;200.0;119.50001195000117;0.0;-119.50001195000117
2021-01-10 23:00:00;160.11536763583376;160.11536763583376;119.50001195000117;0.0;-119.50001195000117
2021-01-11 00:00:00;137.5288048250027;137.5288048250027;123.01938785552613;0.0;-123.01938785552613
2021-01-11 01:00:00;147.2605776212416;147.2605776212416;123.01938785552613;0.0;-123.01938785552613
2021-01-11 02:00:00;149.12273024267185;149.12273024267185;123.01938785552613;0.0;-123.01938785552613
2021-01-11 03:00:00;159.04941095152932;159.04941095152932;123.01938785552613;0.0;-123.01938785552613
2021-01-11 04:00:00;195.01482983458328;195.01482983458328;123.01938785552613;0.0;-123.01938785552613
2021-01-11 05:00:00;286.38515999753486;200.0;123.01938785552613;0.0;-123.01938785552613
2021-01-11 06:00:00;286.329805669409;200.0;123.01938785552613;0.0;-123.01938785552613
2021-01-11 07:00:00;282.5747714725421;200.0;123.01938785552613;0.0;-123.01938785552613
2021-01-11 08:00:00;276.0967186598643;200.0;123.01938785552613;0.0;-123.01938785552613
2021-01-11 09:00:00;270.21259527968584;200.0;123.01938785552613;0.0;-123.01938785552613
2021-01-11 10:00:00;263.87290714279374;200.0;123.01938785552613;0.0;-123.01938785552613
2021-01-11 11:00:00;254.4614141890737;200.0;123.01938785552613;0.0;-123.01938785552613
2021-01-11 12:00:00;252.4745385612;200.0;123.01938785552613;0.0;-123.01938785552613
2021-01-11 13:00:00;253.63393453965887;200.0;123.01938785552613;0.0;-123.01938785552613
2021-01-11 14:00:00;255.17371228948093;200.0;123.01938785552613;0.0;-123.01938785552613
2021-01-11 15:00:00;257.6210617990107;200.0;123.01938785552613;0.0;-123.01938785552613
2021-01-11 16:00:00;267.5876657745907;200.0;123.01938785552613;0.0;-123.01938785552613
2021-01-11 17:00:00;276.8272426529503;200.0;123.01938785552613;0.0;-123.01938785552613
2021-01-11 18:00:00;283.5328201457402;200.0;123.01938785552613;0.0;-123.01938785552613
