time_steps;Last_L;Erzeuger 0;Erzeuger 1;Erzeuger 2;el_Leistungsbedarf_L;el_Leistung_L;el_Leistung_ges_L
2021-05-10 04:00:00;223.95228270179155;0.0;0.0;223.95228270179155;89.5522563586819;0.0;-89.5522563586819
2021-05-10 05:00:00;232.908208752088;0.0;0.0;232.908208752088;91.81181360457583;0.0;-91.81181360457583
2021-05-10 06:00:00;217.054271023358;0.0;0.0;217.054271023358;82.66844569750079;0.0;-82.66844569750079
2021-05-10 07:00:00;259.1036467116925;0.0;0.0;259.1036467116925;96.73821935173699;0.0;-96.73821935173699
2021-05-10 08:00:00;234.6131138146279;0.0;0.0;234.6131138146279;86.89374585726958;0.0;-86.89374585726958
2021-05-10 09:00:00;236.92658706507223;0.0;0.0;236.92658706507223;87.75058780187858;0.0;-87.75058780187858
2021-05-10 10:00:00;231.89088683504315;0.0;0.0;231.89088683504315;85.88551364260856;0.0;-85.88551364260856
2021-05-10 11:00:00;203.7638279678069;0.0;0.0;203.7638279678069;75.46808443252105;0.0;-75.46808443252105
2021-05-10 12:00:00;195.0601329314653;0.0;0.0;195.0601329314653;72.24449367832047;0.0;-72.24449367832047
2021-05-10 13:00:00;168.37762467205897;0.0;0.0;168.37762467205897;62.36208321187369;0.0;-62.36208321187369
2021-05-10 14:00:00;178.70692476654827;10.83082849388763;10.83082849388763;157.04526777877302;58.16491399213815;0.0;-58.16491399213815
2021-05-10 15:00:00;154.39826958226422;18.59576271615551;18.59576271615551;117.2067441499532;43.4099052407234;0.0;-43.4099052407234
2021-05-10 16:00:00;160.8699333198556;16.65108533547857;16.65108533547857;127.56776264889845;47.24731949959201;0.0;-47.24731949959201
2021-05-10 17:00:00;157.366542632347;0.15667162450705074;0.15667162450705074;157.0531993833329;58.16785162345662;0.0;-58.16785162345662
2021-05-10 18:00:00;156.75146296139891;0.0;0.0;156.75146296139891;58.056097393110704;0.0;-58.056097393110704
2021-05-10 19:00:00;170.67858504883958;0.0;0.0;170.67858504883958;63.21429075882946;0.0;-63.21429075882946
2021-05-10 20:00:00;207.47192956425036;0.0;0.0;207.47192956425036;76.84145539416679;0.0;-76.84145539416679
2021-05-10 21:00:00;189.94171421952967;0.0;0.0;189.94171421952967;70.78924948551347;0.0;-70.78924948551347
2021-05-10 22:00:00;169.07195212397664;0.0;0.0;169.07195212397664;63.40832287877915;0.0;-63.40832287877915
2021-05-10 23:00:00;155.96952016307833;0.0;0.0;155.96952016307833;58.59990988994529;0.0;-58.59990988994529
2021-05-11 00:00:00;57.11987607313844;0.0;0.0;57.11987607313844;21.53841480887573;0.0;-21.53841480887573
2021-05-11 01:00:00;182.2554663040089;0.0;0.0;182.2554663040089;69.28811827250948;0.0;-69.28811827250948
2021-05-11 02:00:00;168.3755687515138;0.0;0.0;168.3755687515138;64.60081674014498;0.0;-64.60081674014498
2021-05-11 03:00:00;151.95045148038807;0.0;0.0;151.95045148038807;58.40653885316273;0.0;-58.40653885316273
2021-05-11 04:00:00;191.32355263490285;0.0;0.0;191.32355263490285;73.33776166624605;0.0;-73.33776166624605
2021-05-11 05:00:00;215.17096222558357;0.0;0.0;215.17096222558357;81.95115867823873;0.0;-81.95115867823873
2021-05-11 06:00:00;269.81105510161166;0.0;0.0;269.81105510161166;101.64672057776207;0.0;-101.64672057776207
2021-05-11 07:00:00;277.9423681130144;0.0;0.0;277.9423681130144;103.58615388827315;0.0;-103.58615388827315
2021-05-11 08:00:00;378.7440170953447;0.0;0.0;378.7440170953447;140.27556188716468;0.0;-140.27556188716468
2021-05-11 09:00:00;347.27150349868504;0.0;0.0;347.27150349868504;128.61907536988332;0.0;-128.61907536988332
