
REM Leitungsdaten
REM;
REM;
REM FLDNAM LEI;

REM Leitungsdaten
REM;Anfang;Ende;Anf.Nr.;End.Nr.;Parallel;STANET-ID;WD-Zahl;L‰nge;Innendurchm.;Rauhigkeit;Durchfluss;Geschw.;Delta p;Teilnetz;Verlustfaktor;Strassenname;Material;Strassennummer;Baujahr;Reibungsverl./km;Rohrtyp;StrangNo;Druckhˆhendiff.;Nennweite;Gebiet;Letzte ƒnderung;Temp.Soll (ext. Einfluss);Optimieren;Preis konst.;Preis/mm;Kond.abl.;Koordinate x Anfang;Koordinate y Anfang;Koordinate x Ende;Koordinate y Ende;Verlegeart;Freileitung;Textfahne;Letzter Benutzer;W‰rmeverl.leist.;Gef‰lle;Druckstufe;Ergebnisdiagramm;Druckklasse;Einf¸gen Status;Import Status;Rauheitsklasse;Ort;Ortsteil;PLZ;Geocode Qualit‰t;Widerstandszahl;Reynoldszahl;Text Abstand x;Text Abstand y;Reibungsverlust;Routing Mengenanteil;Wanddicke;Aussendurchmessser;Batches (DQ);Layer;Rohrvolumen;Reduziert zu ID;Trassennummer;Verlustleistung;Wiederbeschaf.wert;Sim. Status;Durchm. Alt;Sanierung verboten;Einzug verboten;Erneuerungsart;Erneuerungspreis;Prognostizierte Schadensrate;Eintrittswahrscheinlichkeit;Schadensausmaﬂ;Risiko;Qualit‰ts-Abfallzeit;Qualit‰t-Endwert;In L‰ngsschnitt nicht ausblenden;Hydraulische Weiche;E(t) Verkehrslast;E(t) Max. Druck/Ruhedruck;E(t) Boden/Bettung/GW;E(t) Anzahl Sch‰den;E(t) Weitere Zustandsdaten;SA Gef.Geb‰ude/Infrastr;SA Folgekosten;SA Bruchpotenzial;SA Erosionsradius;SA Druck;SA Menge;SA Besondere Anforderung;SA Tr¸bungsgrad;Brownfield Benutzer 1;Brownfield Benutzer 2;Anlagenklasse;Rehabilitationsjahr;Temperatursonde Name;Temperatursonde No;Fl‰chentyp;EBENE;SMALLWORLD TYP;Smallworld URN;ROHRTYP;SMALLWORLD VERBINDUN;SMALLWORLD INNENBESCH;SMALLWORLD AUSSENSCHU;DRUCKKLASSE;SANIERUNGSNENNWEITE;Aktiv f.Berechnung;Anzahl S‰tze*;Gelˆscht*;Satz No*
REM;;;;;;;W/K*m2;m;mm;mm;t/h;m/s;bar;;;;;;;mbar/km;;;m;;;;C;?;Ä/m;Ä/m/mm;[J/N];;;;;;[J/N];[0-5];;kW;0/00;bar;[+];;[I/U/D/K];[I/U/M];;;;;;;;;;bar;%;mm;mm;;;m3;;;kW;Ä;;mm;[J/N];[J/N];;;#/km/Jahr;;;;;;[J/N];[J/N];S1;S2;S3;S4 [S/m];S5;G1;G2;BP;ER [m]/PW;VS1;VS2;V3;TR [NTU];U1;U2;;;;;1-7;;;;;;;;;mm;;;*;
REM FLDNAM LEI;ANFNAM;ENDNAM;ANFNR;ENDNR;PARALLEL;STANETID;WDZAHL;RORL;DM;RAU;FLUSS;VM;DP;NETZNR;ZETA;STRASSE;MATERIAL;STRANUM;BAUJAHR;DPREL;ROHRTYP;STRANGNR;DPM;DN;GEBIET;LASTMODI;TU;DIASTATUS;CONPRICE;DIAPRICE;CONDIVERS;XRA;YHA;XRB;YHB;VERLEGEART;OVRHEADLIN;TXROTATE;USERNAME;WAERMEMENG;RAISE;PN;SWMMPRINT;PZONE;PASTESTATE;IMEXSTATE;RAUZONE;STRORT;STROTEIL;AREACODE;GEOQUALITY;LAMBDA;RE;FLAGOFFX;FLAGOFFY;PLOSS;PATHPART;WANDDICKE;OUTERDM;BATCHES;LAYER;PIPEVOL;NEWID;TRASSE;MECHANLOSS;WBWERT;CALCBAD;DMOLD;NORESTAUR;NORELINE;RSTAURTYP;BROWNPRICE;BROWNST;VIRTAGE;BROWNRISK;BFRISKALL;QUALDECAY;QUALFINAL;NOHIDECHRT;HYDSWITCH;BFPROBS1;BFPROBS2;BFPROBS3;BFPROBS4;BFPROBS5;BFRISKG1;BFRISKG2;BFRISKBP;BFRISKER;BFRISKVS1;BFRISKVS2;BFRISKV3;BFRISKTR;BFUSERU1;BFUSERU2;ANKLASSE;REHAJAHR;TPROBEID;TPROBENO;GROUNDTYP;TYP;SW_TYP;SWURN;ROHRTYP1;VERBINDART;INBESCH;AUSSCHUTZ;PDRUCK;SW_SAN_DN;ISACTIVE;!RECCOUNT;!DELETED;!RECNO
LEI;K1036;K1063;     28;     55;0;LEI00000B65954A1F4938;   1.58;    18.6;  21.7;   0.0470;    -0.086; -0.0666; -0.0007;   1;         0.000;Albert-Schweitzer-Straﬂe;;1704282982_0;   0;        -39.19;KMR 20/125-2v;;    -0.007;20;;     20240104090245;   0.0;?;   0.00000;   0.00000;; 5486453.97835; 5639000.73271; 5486470.39056; 5639009.38671;;;0;jp66tyda;      0.000;   0.00000;;;;;;  0;Zittau;;02763;; 0.0397;      4405;     0;     0;     -0.0007;  0.0;   2.6;  26.9;     1;$PIPE_0;     0.007;;    0;      0.0000;       0.00;0;   0.0;;;;      0.00;  0.00000;   0.000;  0.00;  0.00;    0.00;      0.0000;;;;;;;;;;;;;;;;;;;   0;;      0;0;;;;;;;;;     0;1;     124;;      11;
LEI;K1037;K1062;     29;     54;0;LEI00000C65954A21857D;   1.58;    18.8;  21.7;   0.0470;    -0.171; -0.1333; -0.0025;   1;         0.000;Albert-Schweitzer-Straﬂe;;1704282982_0;   0;       -134.84;KMR 20/125-2v;;    -0.026;20;;     20240104090245;   0.0;?;   0.00000;   0.00000;; 5486441.94657; 5639011.56057; 5486459.59019; 5639018.11202;;;0;jp66tyda;      0.000;   0.00000;;;;;;  0;Zittau;;02763;; 0.0341;      8810;     0;     0;     -0.0025;  0.0;   2.6;  26.9;     1;$PIPE_0;     0.007;;    0;      0.0000;       0.00;0;   0.0;;;;      0.00;  0.00000;   0.000;  0.00;  0.00;    0.00;      0.0000;;;;;;;;;;;;;;;;;;;   0;;      0;0;;;;;;;;;     0;1;     124;;      12;
LEI;K1038;K1061;     30;     53;0;LEI00000D65954A229AE9;   1.58;    14.6;  21.7;   0.0470;    -0.086; -0.0666; -0.0006;   1;         0.000;Albert-Schweitzer-Straﬂe;;1704282982_0;   0;        -39.19;KMR 20/125-2v;;    -0.006;20;;     20240104090245;   0.0;?;   0.00000;   0.00000;; 5486430.83780; 5639020.58665; 5486444.15057; 5639026.54964;;;0;jp66tyda;      0.000;   0.00000;;;;;;  0;Zittau;;02763;; 0.0397;      4405;     0;     0;     -0.0006;  0.0;   2.6;  26.9;     1;$PIPE_0;     0.005;;    0;      0.0000;       0.00;0;   0.0;;;;      0.00;  0.00000;   0.000;  0.00;  0.00;    0.00;      0.0000;;;;;;;;;;;;;;;;;;;   0;;      0;0;;;;;;;;;     0;1;     124;;      13;
LEI;K1039;K1060;     31;     52;0;LEI00000E65954A23EEC7;   1.58;    12.7;  21.7;   0.0470;    -0.171; -0.1333; -0.0017;   1;         0.000;Albert-Schweitzer-Straﬂe;;1704282982_0;   0;       -134.84;KMR 20/125-2v;;    -0.017;20;;     20240104090245;   0.0;?;   0.00000;   0.00000;; 5486418.80295; 5639030.21499; 5486430.25874; 5639035.58303;;;0;jp66tyda;      0.000;   0.00000;;;;;;  0;Zittau;;02763;; 0.0341;      8810;     0;     0;     -0.0017;  0.0;   2.6;  26.9;     1;$PIPE_0;     0.005;;    0;      0.0000;       0.00;0;   0.0;;;;      0.00;  0.00000;   0.000;  0.00;  0.00;    0.00;      0.0000;;;;;;;;;;;;;;;;;;;   0;;      0;0;;;;;;;;;     0;1;     124;;      14;
LEI;K1040;K1059;     32;     51;0;LEI00000F65954A259471;   1.58;    16.4;  21.7;   0.0470;    -0.086; -0.0666; -0.0006;   1;         0.000;Albert-Schweitzer-Straﬂe;;1704282982_0;   0;        -39.19;KMR 20/125-2v;;    -0.007;20;;     20240104090245;   0.0;?;   0.00000;   0.00000;; 5486405.83888; 5639039.24601; 5486419.77719; 5639047.90636;;;0;jp66tyda;      0.000;   0.00000;;;;;;  0;Zittau;;02763;; 0.0397;      4405;     0;     0;     -0.0006;  0.0;   2.6;  26.9;     1;$PIPE_0;     0.006;;    0;      0.0000;       0.00;0;   0.0;;;;      0.00;  0.00000;   0.000;  0.00;  0.00;    0.00;      0.0000;;;;;;;;;;;;;;;;;;;   0;;      0;0;;;;;;;;;     0;1;     124;;      15;
LEI;K1041;K1058;     33;     50;0;LEI00001065954A27DAEC;   1.58;    13.1;  21.7;   0.0470;    -0.171; -0.1333; -0.0018;   1;         0.000;Albert-Schweitzer-Straﬂe;;1704282982_0;   0;       -134.84;KMR 20/125-2v;;    -0.018;20;;     20240104090245;   0.0;?;   0.00000;   0.00000;; 5486398.44259; 5639048.86219; 5486407.43556; 5639058.43522;;;0;jp66tyda;      0.000;   0.00000;;;;;;  0;Zittau;;02763;; 0.0341;      8810;     0;     0;     -0.0018;  0.0;   2.6;  26.9;     1;$PIPE_0;     0.005;;    0;      0.0000;       0.00;0;   0.0;;;;      0.00;  0.00000;   0.000;  0.00;  0.00;    0.00;      0.0000;;;;;;;;;;;;;;;;;;;   0;;      0;0;;;;;;;;;     0;1;     124;;      16;
LEI;K1042;K1057;     34;     49;0;LEI00001165954A29B681;   1.58;    13.3;  21.7;   0.0470;    -0.086; -0.0666; -0.0005;   1;         0.000;Albert-Schweitzer-Straﬂe;;1704282982_0;   0;        -39.19;KMR 20/125-2v;;    -0.005;20;;     20240104090245;   0.0;?;   0.00000;   0.00000;; 5486386.09073; 5639055.49246; 5486393.84996; 5639066.26832;;;0;jp66tyda;      0.000;   0.00000;;;;;;  0;Zittau;;02763;; 0.0397;      4405;     0;     0;     -0.0005;  0.0;   2.6;  26.9;     1;$PIPE_0;     0.005;;    0;      0.0000;       0.00;0;   0.0;;;;      0.00;  0.00000;   0.000;  0.00;  0.00;    0.00;      0.0000;;;;;;;;;;;;;;;;;;;   0;;      0;0;;;;;;;;;     0;1;     124;;      17;
LEI;K1019;K1057;     11;     49;0;LEI00001265954A32C4ED;   1.46;    36.6;  27.3;   0.0470;    -0.343; -0.1684; -0.0056;   1;         0.000;Albert-Schweitzer-Straﬂe;;1704282982_0;   0;       -153.61;KMR 25/125-2v;;    -0.057;25;;     20240104090245;   0.0;?;   0.00000;   0.00000;; 5486420.20158; 5639091.69022; 5486393.84996; 5639066.26832;;;0;jp66tyda;      0.000;   0.00000;;;;;;  0;Zittau;;02763;; 0.0306;     14005;     0;     0;     -0.0056;  0.0;   3.2;  33.7;     1;$PIPE_0;     0.021;;    0;      0.0001;       0.00;0;   0.0;;;;      0.00;  0.00000;   0.000;  0.00;  0.00;    0.00;      0.0000;;;;;;;;;;;;;;;;;;;   0;;      0;0;;;;;;;;;     0;1;     124;;      18;
LEI;K1020;K1058;     12;     50;0;LEI00001365954A34A72A;   1.46;    34.8;  27.3;   0.0470;    -0.257; -0.1263; -0.0032;   1;         0.000;Albert-Schweitzer-Straﬂe;;1704282982_0;   0;        -91.18;KMR 25/125-2v;;    -0.032;25;;     20240104090245;   0.0;?;   0.00000;   0.00000;; 5486429.77034; 5639085.06734; 5486407.43556; 5639058.43522;;;0;jp66tyda;      0.000;   0.00000;;;;;;  0;Zittau;;02763;; 0.0323;     10503;     0;     0;     -0.0032;  0.0;   3.2;  33.7;     1;$PIPE_0;     0.020;;    0;      0.0000;       0.00;0;   0.0;;;;      0.00;  0.00000;   0.000;  0.00;  0.00;    0.00;      0.0000;;;;;;;;;;;;;;;;;;;   0;;      0;0;;;;;;;;;     0;1;     124;;      19;
LEI;K1021;K1059;     13;     51;0;LEI00001465954A352522;   1.58;    35.7;  21.7;   0.0470;    -0.171; -0.1333; -0.0048;   1;         0.000;Albert-Schweitzer-Straﬂe;;1704282982_0;   0;       -134.84;KMR 20/125-2v;;    -0.049;20;;     20240104090245;   0.0;?;   0.00000;   0.00000;; 5486445.08279; 5639073.26035; 5486419.77719; 5639047.90636;;;0;jp66tyda;      0.000;   0.00000;;;;;;  0;Zittau;;02763;; 0.0341;      8810;     0;     0;     -0.0048;  0.0;   2.6;  26.9;     1;$PIPE_0;     0.013;;    0;      0.0000;       0.00;0;   0.0;;;;      0.00;  0.00000;   0.000;  0.00;  0.00;    0.00;      0.0000;;;;;;;;;;;;;;;;;;;   0;;      0;0;;;;;;;;;     0;1;     124;;      20;
