
REM Knotendaten
REM;
REM;
REM FLDNAM KNO;

REM Knotendaten
REM;Koordinate x;Koordinate y;Knotenname;Zufluss;Fluss-Status;Messdruck;Druck-Status;Temperatur;Höhe;Ber.Druck;Sättigungsdampfdruck;Abs.Druck;Diff.Druck;Qualität 1;Druckhöhe;Symbol-Nr.;Abgänge;Teilnetz;Gebiet;Letzte Änderung;Ort;Sohlhöhe;Letzter Benutzer;Minimale Laufzeit;Maximale Laufzeit;Betriebsdichte;Medium-Zähigkeit;Qualität 2;Qualität 3;Messtemp.;Wärmeleistung;Trennt;Text Abstand x;Text Abstand y;Ergebnisdiagramm;Einfügen Status;Import Status;Normdichte;Mittlere Laufzeit;Anzahl Abnehmer;Sim. Status;Verbindungsfehler;Kondensat;Vorlauf;Knoten Gegenüber;Drucklimit unten;Drucklimit oben;Temp.limit unten;Temp.limit oben;In Längsschnitt nicht ausblenden;STANET-ID;Smallworld URN;Aktiv f.Berechnung;Anzahl Sätze*;Gelöscht*;Satz No*
REM;m;m;;t/h;?;bar;!;C;mNN;bar;bar abs.;bar;bar;;m;;;;;;;mNN;;h;h;kg/m3;E-6kg/ms;;;C;kW;[J/N];;;[+];[I/U/D/K];[I/U/M];kg/m3;h;;;[J/N];t/h;[J/N];;bar;bar;C;C;[J/N];;;;;*;
REM FLDNAM KNO;XRECHTS;YHOCH;KNAM;ZUFLUSS;FSTATUS;PMESS;DSTATUS;TEMP;GEOH;PRECH;PSTEAM;PABS;DP;HO;HP;SYMBOL;ABGAENGE;NETZNR;GEBIET;LASTMODI;LOCATION;INVERT;USERNAME;TMIN;TMAX;RHO;ETA;QUALI2;QUALI3;TMESS;WAERMEMENG;DISCONNECT;FLAGOFFX;FLAGOFFY;SWMMPRINT;PASTESTATE;IMEXSTATE;RHON;TMED;ABNCOUNT;CALCBAD;LINKERR;KONDENSAT;SUPPLY;OTHERNODE;PLIMITLOW;PLIMITHIGH;TLIMITLOW;TLIMITHIGH;NOHIDECHRT;STANETID;SWURN;ISACTIVE;!RECCOUNT;!DELETED;!RECNO
KNO; 5486420.20158; 5639091.69022;K1019;     0.000;;  0.0000;;  90.0;   0.00;  4.0597;  0.7008;  5.0727;  0.0000;  0.0000;    42.889;  0;  1;   1;;     20240103114942;;   0.00;jp66tyda;       0.00;       0.00;  965.20;  316.85;      0.0000;      0.0000;   0.0;      0.000;;     0;     0;;;;  1000.0000;       0.00; 0;0;;    0.0000;J;   73;  0.0000;  0.0000;   0.00;   0.00;;KNO00000B659549D6F299;;1;     126;;      11;
KNO; 5486429.77034; 5639085.06734;K1020;     0.000;;  0.0000;;  90.0;   0.00;  4.0608;  0.7008;  5.0738;  0.0000;  0.0000;    42.902;  0;  1;   1;;     20240103114942;;   0.00;jp66tyda;       0.00;       0.00;  965.20;  316.85;      0.0000;      0.0000;   0.0;      0.000;;     0;     0;;;;  1000.0000;       0.00; 0;0;;    0.0000;J;   74;  0.0000;  0.0000;   0.00;   0.00;;KNO00000C659549D65BDC;;1;     126;;      12;
KNO; 5486445.08279; 5639073.26035;K1021;     0.000;;  0.0000;;  90.0;   0.00;  4.0582;  0.7008;  5.0712;  0.0000;  0.0000;    42.874;  0;  1;   1;;     20240103114943;;   0.00;jp66tyda;       0.00;       0.00;  965.20;  316.85;      0.0000;      0.0000;   0.0;      0.000;;     0;     0;;;;  1000.0000;       0.00; 0;0;;    0.0000;J;   75;  0.0000;  0.0000;   0.00;   0.00;;KNO00000D659549D7E99D;;1;     126;;      13;
KNO; 5486460.01818; 5639063.39536;K1022;     0.000;;  0.0000;;  90.0;   0.00;  4.0585;  0.7008;  5.0715;  0.0000; -2.0000;    42.877;  0;  1;   1;;     20240103114944;;   0.00;jp66tyda;       0.00;       0.00;  965.20;  316.85;      0.0000;      0.0000;   0.0;      0.000;;     0;     0;;;;  1000.0000;       0.00; 0;0;;    0.0000;J;   76;  0.0000;  0.0000;   0.00;   0.00;;KNO00000E659549D8827D;;1;     126;;      14;
KNO; 5486475.13905; 5639051.35986;K1023;     0.000;;  0.0000;;  90.0;   0.00;  4.0524;  0.7008;  5.0654;  0.0000;  0.0000;    42.812;  0;  1;   1;;     20240103114944;;   0.00;jp66tyda;       0.00;       0.00;  965.20;  316.85;      0.0000;      0.0000;   0.0;      0.000;;     0;     0;;;;  1000.0000;       0.00; 0;0;;    0.0000;J;   77;  0.0000;  0.0000;   0.00;   0.00;;KNO00000F659549D82347;;1;     126;;      15;
KNO; 5486487.48319; 5639041.73085;K1024;     0.000;;  0.0000;;  90.0;   0.00;  4.0543;  0.7008;  5.0673;  0.0000; -2.0000;    42.833;  0;  1;   1;;     20240103114945;;   0.00;jp66tyda;       0.00;       0.00;  965.20;  316.85;      0.0000;      0.0000;   0.0;      0.000;;     0;     0;;;;  1000.0000;       0.00; 0;0;;    0.0000;J;   78;  0.0000;  0.0000;   0.00;   0.00;;KNO000010659549D9DAFD;;1;     126;;      16;
KNO; 5486500.44426; 5639031.50046;K1025;     0.000;;  0.0000;;  90.0;   0.00;  4.0495;  0.7008;  5.0625;  0.0000;  0.0000;    42.782;  0;  1;   1;;     20240103114945;;   0.00;jp66tyda;       0.00;       0.00;  965.20;  316.85;      0.0000;      0.0000;   0.0;      0.000;;     0;     0;;;;  1000.0000;       0.00; 0;0;;    0.0000;J;   79;  0.0000;  0.0000;   0.00;   0.00;;KNO000011659549D941C9;;1;     126;;      17;
KNO; 5486524.54874; 5639025.43957;K1026;     0.000;;  0.0000;;  90.0;   0.00;  4.0448;  0.7008;  5.0578;  0.0000; -2.0000;    42.733;  0;  1;   1;;     20240103114946;;   0.00;jp66tyda;       0.00;       0.00;  965.20;  316.85;      0.0000;      0.0000;   0.0;      0.000;;     0;     0;;;;  1000.0000;       0.00; 0;0;;    0.0000;J;   80;  0.0000;  0.0000;   0.00;   0.00;;KNO000012659549DAD62D;;1;     126;;      18;
KNO; 5486538.76875; 5639023.60311;K1027;     0.000;;  0.0000;;  90.0;   0.00;  4.0397;  0.7008;  5.0527;  0.0000; -2.0000;    42.678;  0;  1;   1;;     20240103114946;;   0.00;jp66tyda;       0.00;       0.00;  965.20;  316.85;      0.0000;      0.0000;   0.0;      0.000;;     0;     0;;;;  1000.0000;       0.00; 0;0;;    0.0000;J;   81;  0.0000;  0.0000;   0.00;   0.00;;KNO000013659549DA4EDA;;1;     126;;      19;
KNO; 5486559.16954; 5639020.25111;K1028;     0.000;;  0.0000;;  90.0;   0.00;  4.0424;  0.7008;  5.0554;  0.0000; -2.0000;    42.707;  0;  1;   1;;     20240103114947;;   0.00;jp66tyda;       0.00;       0.00;  965.20;  316.85;      0.0000;      0.0000;   0.0;      0.000;;     0;     0;;;;  1000.0000;       0.00; 0;0;;    0.0000;J;   82;  0.0000;  0.0000;   0.00;   0.00;;KNO000014659549DBE0FE;;1;     126;;      20;
