;35;45;55;60;65;70;75;80;85;90
0;4.2;3.5;3;2.7;2.5;2.3;2.1;0;0;0
5;4.7;3.9;3.2;3;2.7;2.5;2.3;2.1;0;0
10;5.3;4.3;3.6;3.3;3;2.7;2.5;2.3;2.1;0
15;6.1;4.8;3.9;3.6;3.3;3;2.7;2.5;2.3;2.1
20;0;5.5;4.4;4;3.6;3.3;3;2.7;2.4;2.2
25;0;6.2;4.9;4.4;4;3.6;3.2;2.9;2.7;2.3
30;0;0;5.5;4.9;4.4;4;3.6;3.2;2.9;2.5
35;0;0;5.9;5.3;4.7;4.2;3.8;3.3;2.9;2.6
40;0;0;0;6;5.3;4.7;4.2;3.6;3.2;2.9
45;0;0;0;0;5.9;5.3;4.7;3.9;3.5;3.2
